DATAFLOW,LAST UPDATE,freq,waste,hazard,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Bulgaria,2022,14603,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2004,3079,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2006,1663,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2008,2343,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2010,2861,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2012,2171,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2014,2321,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2016,2897,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2018,2646,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2020,2491,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Cyprus,2022,3294,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2004,2871,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2006,2417,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2008,2448,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2010,2268,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2012,2205,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2014,2223,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2016,2402,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2018,3560,b,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2020,3598,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Czechia,2022,3672,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2004,4412,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2006,4416,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2008,4540,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2010,4446,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2012,4576,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2014,4785,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2016,4858,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2018,4891,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2020,4824,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Germany,2022,4604,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2004,2329,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2006,2704,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2008,2759,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2010,2923,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2012,2989,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2014,3687,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2016,3663,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2018,3702,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2020,3453,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Denmark,2022,3333,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2004,15310,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2006,14058,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2008,14647,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2010,14270,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2012,16627,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2014,16587,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2016,18451,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2018,17539,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2020,12163,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Estonia,2022,16752,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2004,3044,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2006,4657,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2008,6197,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Greece,2010,6333,,
