DATAFLOW,LAST UPDATE,freq,statinfo,unit,stk_flow,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2022,26.53,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2023,26.72,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2009,76.6,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2010,75.87,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2011,75.03,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2012,74.06,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2013,74.18,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2014,73.38,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2015,72.35,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2016,69.59,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2017,56.47,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2018,55.79,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2019,56.12,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2020,52.82,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2021,53.85,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2022,52.58,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Switzerland,2023,50.58,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2009,9.24,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2010,9,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2011,8.78,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2012,8.64,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2013,8.66,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2014,8.76,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2015,8.81,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2016,16.99,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2017,16.83,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2018,15.71,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2019,15.5,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2020,15.32,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2021,15.4,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2022,15.19,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Cyprus,2023,14.99,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2009,43.2,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2010,45.86,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2011,45.77,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2012,45.86,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2013,52.52,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2014,52.52,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2015,52.38,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2016,52.5,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2017,54.39,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2018,54.7,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2019,54.49,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2020,54.93,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2021,58.12,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2022,57.46,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2023,56.52,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2009,28.62,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2010,31.07,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2011,31.83,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2012,31.83,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2013,37.99,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2014,37.51,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2015,37.91,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2016,39.17,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2017,41.3,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2018,45.18,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2019,48.34,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2020,46.11,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2021,61.56,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2022,65.37,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Germany,2023,65.48,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2009,38.95,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2010,39.46,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2011,39.71,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2012,39.57,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2013,44.73,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2014,45.02,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2015,44.7,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2016,44.36,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2017,44.07,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2018,44.35,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2019,44.19,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2020,42.68,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2021,42.5,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2022,36.11,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Denmark,2023,36.78,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2009,6.79,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2010,8.21,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2011,8.24,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2012,8.27,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2013,8.3,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2014,8.32,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2015,8.31,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2016,8.31,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2017,8.3,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2018,8.27,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2019,8.24,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2020,8.22,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2021,8.21,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2022,8.11,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Estonia,2023,8.08,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2009,30.28,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2010,30.24,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2011,30.28,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2012,30.45,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2013,30.72,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2014,30.94,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2015,31.18,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2016,31.48,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2017,29.47,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2018,29.76,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2019,30.7,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2020,21.87,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2021,24.18,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2022,24.56,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Greece,2023,37.01,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2009,44.84,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2010,42.85,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2011,40.06,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2012,37.83,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2013,27.38,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2014,24.67,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2015,24.77,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Spain,2016,25.05,,
