DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,France,2021,168367,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Croatia,2012,666,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Croatia,2016,5025,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Croatia,2019,5279,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Croatia,2021,5278,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Hungary,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Hungary,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Hungary,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Hungary,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Ireland,2012,6816,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Ireland,2016,10264,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Ireland,2019,10257,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Ireland,2021,10261,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Italy,2012,30367,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Italy,2016,30487,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Italy,2019,31987,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Italy,2021,56771,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Lithuania,2012,674,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Lithuania,2016,1555,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Lithuania,2019,1554,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Lithuania,2021,1551,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Luxembourg,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Luxembourg,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Luxembourg,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Luxembourg,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Latvia,2012,4383,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Latvia,2016,4470,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Latvia,2019,4469,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Latvia,2021,4470,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Malta,2012,193,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Malta,2016,3489,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Malta,2019,4142,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Malta,2021,4142,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Netherlands,2012,11829,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Netherlands,2016,15085,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Netherlands,2019,15082,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Netherlands,2021,16451,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Poland,2012,7235,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Poland,2016,7238,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Poland,2019,7238,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Poland,2021,7247,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Portugal,2012,14196,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Portugal,2016,66445,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Portugal,2019,77006,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Portugal,2021,76960,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Romania,2012,1888,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Romania,2016,6322,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Romania,2019,6358,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Romania,2021,6354,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Sweden,2012,10442,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Sweden,2016,23802,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Sweden,2019,24076,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Sweden,2021,24837,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovenia,2012,230,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovenia,2016,408,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovenia,2019,11,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovenia,2021,11,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovakia,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovakia,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovakia,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Slovakia,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Austria,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Austria,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Austria,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Austria,2021,,m,
