DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,2020,135304.9,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,2021,139843.5,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,2022,155491,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,2023,136393.046,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2000,144812.095,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2001,151240.39,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2002,148672.248,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2003,144446.428,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2004,145869.952,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2005,147379.324,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2006,149834.997,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2007,153811.116,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2008,155849.484,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2009,157527.844,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2010,144409.036,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2011,156308.816,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2012,152343.089,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2013,155980.771,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2014,149967.095,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2015,152626.334,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2016,158633.837,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2017,154300.763,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2018,147729.821,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2019,145861.628,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2020,139800.994,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2021,135927.473,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2022,140044.817,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Switzerland,2023,132491.178,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2008,32544.485,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2009,28742.131,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2010,25815.191,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2011,24507.364,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2012,17878.275,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2013,13162.688,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2014,12901.977,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2015,13022.14,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2016,14448.652,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Cyprus,2017,17360.026,,
