DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2007,19.675,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2008,18.646,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2009,20.765,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2010,21.081,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2011,20.937,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2012,21.551,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2013,23.16,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2014,22.459,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2015,22.879,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2016,21.975,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2017,21.658,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2018,21.378,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2019,21.968,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2020,25,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2021,25.000,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2022,25.002,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovenia,2023,25.066,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources,Percentage,Slovakia,2004,6.391,,
