DATAFLOW,LAST UPDATE,freq,watpol,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2001,0.310,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2002,0.264,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2003,0.241,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2004,0.235,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2005,0.131,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2006,0.314,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2007,0.425,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2008,0.321,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2009,0.290,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2010,0.328,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2011,0.135,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2012,0.152,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2013,0.142,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2014,0.113,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2015,0.096,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2016,0.100,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2017,0.132,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2018,0.106,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2019,0.148,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2020,0.193,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2021,0.169,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2022,0.145,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2000,0.025,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2001,0.025,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2002,0.022,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2003,0.020,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2004,0.021,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2005,0.020,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2006,0.024,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2007,0.020,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2008,0.019,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2009,0.019,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2010,0.019,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2011,0.021,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2012,0.019,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2013,0.015,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2014,0.016,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2015,0.021,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2016,0.019,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2017,0.016,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2018,0.013,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2019,0.015,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2020,0.016,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2021,0.016,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Switzerland,2022,0.018,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2000,0.313,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2001,0.261,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2002,0.250,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2003,0.333,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2004,0.263,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2005,0.182,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2006,0.146,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2007,0.138,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2008,0.144,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2009,0.092,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2010,0.077,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2011,0.125,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2012,0.140,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2013,0.119,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2014,0.144,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2015,0.147,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2016,0.146,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2017,0.144,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2018,0.156,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2019,0.125,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2020,0.088,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2021,0.096,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Czechia,2022,0.096,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Denmark,2000,0.057,,
