DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Austria,2021,24510,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Austria,2022,24603,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Belgium,2021,4505,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Belgium,2022,4524,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Bulgaria,2021,45460,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Bulgaria,2022,45465,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Cyprus,2021,3491,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Cyprus,2022,3502,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Czechia,2021,17259,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Czechia,2022,17257,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Germany,2021,133708,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Germany,2022,137704,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Denmark,2021,6435,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Denmark,2022,6506,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Estonia,2021,9481,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Estonia,2022,9522,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Greece,2021,46063,,
ESTAT:SDG_15_20(1.0),20/11/24 23:00:00,Annual,Terrestrial protected area,Square kilometre,Greece,2022,45721,,
