DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2000,2.77,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2001,2.56,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2002,3.37,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2003,15,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2004,5.82,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2005,2.7,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2006,7.76,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2007,10.84,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2008,14.12,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2009,10.73,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2010,9.74,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2011,7.41,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2012,9.54,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2013,9.39,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2014,9.25,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2015,9.1,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2016,8.95,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2017,6.07,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2018,9.3,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2019,6.06,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2020,7.73,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2021,7.27,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Albania,2022,7.69,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2000,2.31,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2001,1.79,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2002,2.84,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2003,2.2,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2004,2.48,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2005,1.75,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2006,1.83,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2007,1.7,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2008,1.58,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2009,1.45,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2010,2.4,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2011,2.33,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2012,2.2,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2013,2.08,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2014,1.95,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2015,1.88,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2016,1.81,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2017,1.73,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2018,1.58,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2019,1.43,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2020,1.28,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2021,1.13,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Austria,2022,2.14,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2000,2.75,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2001,2.36,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2002,2.33,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2003,2.6,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2004,2.4,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2005,2.29,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2006,2.61,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2007,2.97,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2008,2.86,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2009,3.2,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2010,2.74,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2011,2.53,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2012,2.53,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2013,2.32,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2014,2.48,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2015,2.91,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2016,2.56,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2017,2.56,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2018,2.65,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2019,2.27,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2020,2.25,,
ESTAT:SDG_06_30(1.0),27/01/25 23:00:00,Annual,Milligrams per litre,Belgium,2021,1.95,,
