indic_env,unit,country,hazard,year,value
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2008,241.4
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2009,205.5
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2010,234.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2011,224.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2012,219.1
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2013,218.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2014,222.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2015,218.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2016,214.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2017,219.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2018,220.1
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2019,223.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2020,215.8
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2021,222.6
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2022,194.0
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to health,2023,166.8
