areaprot,unit,country,year,value
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2014,25.0
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2015,25.1
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2016,25.2
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2017,25.5
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2018,25.7
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2019,26.0
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2020,26.0
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2021,26.0
Terrestrial protected area,Percentage,European Union - 27 countries (from 2020),2022,26.1
Terrestrial protected area,Percentage,Finland,2021,13.3
Terrestrial protected area,Percentage,Finland,2022,13.4
Terrestrial protected area,Percentage,France,2021,28.0
Terrestrial protected area,Percentage,France,2022,28.1
Terrestrial protected area,Percentage,Croatia,2021,38.1
Terrestrial protected area,Percentage,Croatia,2022,38.2
Terrestrial protected area,Percentage,Hungary,2021,22.2
Terrestrial protected area,Percentage,Hungary,2022,22.2
Terrestrial protected area,Percentage,Ireland,2021,13.9
Terrestrial protected area,Percentage,Ireland,2022,13.9
Terrestrial protected area,Percentage,Italy,2021,21.4
Terrestrial protected area,Percentage,Italy,2022,21.4
Terrestrial protected area,Percentage,Lithuania,2021,17.1
Terrestrial protected area,Percentage,Lithuania,2022,17.8
Terrestrial protected area,Percentage,Luxembourg,2021,55.8
Terrestrial protected area,Percentage,Luxembourg,2022,37.9
Terrestrial protected area,Percentage,Latvia,2021,18.2
Terrestrial protected area,Percentage,Latvia,2022,18.1
Terrestrial protected area,Percentage,Malta,2021,29.0
Terrestrial protected area,Percentage,Malta,2022,28.7
Terrestrial protected area,Percentage,Netherlands,2021,26.5
Terrestrial protected area,Percentage,Netherlands,2022,22.7
Terrestrial protected area,Percentage,Poland,2021,39.6
Terrestrial protected area,Percentage,Poland,2022,39.6
Terrestrial protected area,Percentage,Portugal,2021,22.4
Terrestrial protected area,Percentage,Portugal,2022,22.4
Terrestrial protected area,Percentage,Romania,2021,23.4
Terrestrial protected area,Percentage,Romania,2022,23.5
Terrestrial protected area,Percentage,Sweden,2021,15.0
Terrestrial protected area,Percentage,Sweden,2022,15.0
Terrestrial protected area,Percentage,Slovenia,2021,40.4
Terrestrial protected area,Percentage,Slovenia,2022,40.5
Terrestrial protected area,Percentage,Slovakia,2021,37.4
Terrestrial protected area,Percentage,Slovakia,2022,37.3
