indic_env,material,unit,country,year,value
Raw material consumption,Total,Tonnes per capita,Lithuania,2010,13.795
Raw material consumption,Total,Tonnes per capita,Lithuania,2011,15.941
Raw material consumption,Total,Tonnes per capita,Lithuania,2012,14.597
Raw material consumption,Total,Tonnes per capita,Lithuania,2013,17.394
Raw material consumption,Total,Tonnes per capita,Lithuania,2014,17.292
Raw material consumption,Total,Tonnes per capita,Lithuania,2015,16.533
Raw material consumption,Total,Tonnes per capita,Lithuania,2016,17.912
Raw material consumption,Total,Tonnes per capita,Lithuania,2017,20.176
Raw material consumption,Total,Tonnes per capita,Lithuania,2018,20.067
Raw material consumption,Total,Tonnes per capita,Lithuania,2019,20.438
Raw material consumption,Total,Tonnes per capita,Lithuania,2020,21.743
Raw material consumption,Total,Tonnes per capita,Lithuania,2021,23.15
Raw material consumption,Total,Tonnes per capita,Lithuania,2022,22.092
Raw material consumption,Total,Tonnes per capita,Lithuania,2023,22.946
Raw material consumption,Total,Tonnes per capita,Luxembourg,2000,31.163
Raw material consumption,Total,Tonnes per capita,Luxembourg,2001,29.986
Raw material consumption,Total,Tonnes per capita,Luxembourg,2002,33.888
Raw material consumption,Total,Tonnes per capita,Luxembourg,2003,34.234
Raw material consumption,Total,Tonnes per capita,Luxembourg,2004,35.68
Raw material consumption,Total,Tonnes per capita,Luxembourg,2005,36.696
Raw material consumption,Total,Tonnes per capita,Luxembourg,2006,37.092
Raw material consumption,Total,Tonnes per capita,Luxembourg,2007,37.432
Raw material consumption,Total,Tonnes per capita,Luxembourg,2008,38.845
Raw material consumption,Total,Tonnes per capita,Luxembourg,2009,35.095
Raw material consumption,Total,Tonnes per capita,Luxembourg,2010,32.489
Raw material consumption,Total,Tonnes per capita,Luxembourg,2011,32.76
Raw material consumption,Total,Tonnes per capita,Luxembourg,2012,29.759
Raw material consumption,Total,Tonnes per capita,Luxembourg,2013,30.676
Raw material consumption,Total,Tonnes per capita,Luxembourg,2014,29.842
Raw material consumption,Total,Tonnes per capita,Luxembourg,2015,33.638
Raw material consumption,Total,Tonnes per capita,Luxembourg,2016,30.891
Raw material consumption,Total,Tonnes per capita,Luxembourg,2017,32.427
Raw material consumption,Total,Tonnes per capita,Luxembourg,2018,28.335
Raw material consumption,Total,Tonnes per capita,Luxembourg,2019,27.068
Raw material consumption,Total,Tonnes per capita,Luxembourg,2020,27.395
Raw material consumption,Total,Tonnes per capita,Luxembourg,2021,27.551
Raw material consumption,Total,Tonnes per capita,Luxembourg,2022,31.71
Raw material consumption,Total,Tonnes per capita,Luxembourg,2023,32.05
Raw material consumption,Total,Tonnes per capita,Latvia,2000,7.78
Raw material consumption,Total,Tonnes per capita,Latvia,2001,8.662
Raw material consumption,Total,Tonnes per capita,Latvia,2002,9.925
Raw material consumption,Total,Tonnes per capita,Latvia,2003,11.305
Raw material consumption,Total,Tonnes per capita,Latvia,2004,12.504
Raw material consumption,Total,Tonnes per capita,Latvia,2005,14.467
Raw material consumption,Total,Tonnes per capita,Latvia,2006,16.575
Raw material consumption,Total,Tonnes per capita,Latvia,2007,18.22
Raw material consumption,Total,Tonnes per capita,Latvia,2008,16.253
Raw material consumption,Total,Tonnes per capita,Latvia,2009,10.157
Raw material consumption,Total,Tonnes per capita,Latvia,2010,11.654
Raw material consumption,Total,Tonnes per capita,Latvia,2011,14.446
Raw material consumption,Total,Tonnes per capita,Latvia,2012,13.607
Raw material consumption,Total,Tonnes per capita,Latvia,2013,15.151
Raw material consumption,Total,Tonnes per capita,Latvia,2014,15.63
Raw material consumption,Total,Tonnes per capita,Latvia,2015,16.338
Raw material consumption,Total,Tonnes per capita,Latvia,2016,14.811
Raw material consumption,Total,Tonnes per capita,Latvia,2017,17.294
Raw material consumption,Total,Tonnes per capita,Latvia,2018,17.18
Raw material consumption,Total,Tonnes per capita,Latvia,2019,17.348
Raw material consumption,Total,Tonnes per capita,Latvia,2020,16.961
Raw material consumption,Total,Tonnes per capita,Latvia,2021,18.704
Raw material consumption,Total,Tonnes per capita,Latvia,2022,19.303
Raw material consumption,Total,Tonnes per capita,Latvia,2023,19.625
Raw material consumption,Total,Tonnes per capita,Malta,2008,17.487
Raw material consumption,Total,Tonnes per capita,Malta,2009,16.558
Raw material consumption,Total,Tonnes per capita,Malta,2010,13.776
Raw material consumption,Total,Tonnes per capita,Malta,2011,13.589
Raw material consumption,Total,Tonnes per capita,Malta,2012,11.734
Raw material consumption,Total,Tonnes per capita,Malta,2013,12.622
Raw material consumption,Total,Tonnes per capita,Malta,2014,11.761
Raw material consumption,Total,Tonnes per capita,Malta,2015,13.999
Raw material consumption,Total,Tonnes per capita,Malta,2016,12.004
Raw material consumption,Total,Tonnes per capita,Malta,2017,10.8
Raw material consumption,Total,Tonnes per capita,Malta,2018,10.013
Raw material consumption,Total,Tonnes per capita,Malta,2019,10.991
Raw material consumption,Total,Tonnes per capita,Malta,2020,11.095
Raw material consumption,Total,Tonnes per capita,Malta,2021,9.367
Raw material consumption,Total,Tonnes per capita,Malta,2022,10.346
Raw material consumption,Total,Tonnes per capita,Malta,2023,6.142
Raw material consumption,Total,Tonnes per capita,Netherlands,2008,13.462
Raw material consumption,Total,Tonnes per capita,Netherlands,2009,10.991
Raw material consumption,Total,Tonnes per capita,Netherlands,2010,11.134
Raw material consumption,Total,Tonnes per capita,Netherlands,2011,11.981
Raw material consumption,Total,Tonnes per capita,Netherlands,2012,10.152
Raw material consumption,Total,Tonnes per capita,Netherlands,2013,9.114
Raw material consumption,Total,Tonnes per capita,Netherlands,2014,9.23
Raw material consumption,Total,Tonnes per capita,Netherlands,2015,10.803
Raw material consumption,Total,Tonnes per capita,Netherlands,2016,8.321
Raw material consumption,Total,Tonnes per capita,Netherlands,2017,7.931
Raw material consumption,Total,Tonnes per capita,Netherlands,2018,9.001
Raw material consumption,Total,Tonnes per capita,Netherlands,2019,9.296
Raw material consumption,Total,Tonnes per capita,Netherlands,2020,9.264
Raw material consumption,Total,Tonnes per capita,Netherlands,2021,8.651
Raw material consumption,Total,Tonnes per capita,Netherlands,2022,8.519
Raw material consumption,Total,Tonnes per capita,Netherlands,2023,6.066
Raw material consumption,Total,Tonnes per capita,Poland,2008,15.527
Raw material consumption,Total,Tonnes per capita,Poland,2009,15.106
Raw material consumption,Total,Tonnes per capita,Poland,2010,15.344
Raw material consumption,Total,Tonnes per capita,Poland,2011,18.942
Raw material consumption,Total,Tonnes per capita,Poland,2012,15.988
Raw material consumption,Total,Tonnes per capita,Poland,2013,15.044
Raw material consumption,Total,Tonnes per capita,Poland,2014,15.141
Raw material consumption,Total,Tonnes per capita,Poland,2015,14.808
Raw material consumption,Total,Tonnes per capita,Poland,2016,15.167
Raw material consumption,Total,Tonnes per capita,Poland,2017,16.477
Raw material consumption,Total,Tonnes per capita,Poland,2018,16.798
Raw material consumption,Total,Tonnes per capita,Poland,2019,16.078
Raw material consumption,Total,Tonnes per capita,Poland,2020,15.754
Raw material consumption,Total,Tonnes per capita,Poland,2021,16.134
Raw material consumption,Total,Tonnes per capita,Poland,2022,16.054
Raw material consumption,Total,Tonnes per capita,Poland,2023,15.767
Raw material consumption,Total,Tonnes per capita,Portugal,2008,25.164
Raw material consumption,Total,Tonnes per capita,Portugal,2009,22.337
Raw material consumption,Total,Tonnes per capita,Portugal,2010,19.722
Raw material consumption,Total,Tonnes per capita,Portugal,2011,18.221
Raw material consumption,Total,Tonnes per capita,Portugal,2012,16.056
Raw material consumption,Total,Tonnes per capita,Portugal,2013,13.849
Raw material consumption,Total,Tonnes per capita,Portugal,2014,15.371
Raw material consumption,Total,Tonnes per capita,Portugal,2015,16.155
Raw material consumption,Total,Tonnes per capita,Portugal,2016,15.348
Raw material consumption,Total,Tonnes per capita,Portugal,2017,17.147
Raw material consumption,Total,Tonnes per capita,Portugal,2018,16.979
Raw material consumption,Total,Tonnes per capita,Portugal,2019,17.16
Raw material consumption,Total,Tonnes per capita,Portugal,2020,15.41
Raw material consumption,Total,Tonnes per capita,Portugal,2021,18.159
Raw material consumption,Total,Tonnes per capita,Portugal,2022,15.98
Raw material consumption,Total,Tonnes per capita,Portugal,2023,16.467
Raw material consumption,Total,Tonnes per capita,Romania,2008,23.037
Raw material consumption,Total,Tonnes per capita,Romania,2009,17.973
Raw material consumption,Total,Tonnes per capita,Romania,2010,13.743
Raw material consumption,Total,Tonnes per capita,Romania,2011,19.274
Raw material consumption,Total,Tonnes per capita,Romania,2012,17.934
Raw material consumption,Total,Tonnes per capita,Romania,2013,17.717
Raw material consumption,Total,Tonnes per capita,Romania,2014,18.604
Raw material consumption,Total,Tonnes per capita,Romania,2015,22.422
Raw material consumption,Total,Tonnes per capita,Romania,2016,23.004
Raw material consumption,Total,Tonnes per capita,Romania,2017,21.59
Raw material consumption,Total,Tonnes per capita,Romania,2018,23.417
Raw material consumption,Total,Tonnes per capita,Romania,2019,27.96
Raw material consumption,Total,Tonnes per capita,Romania,2020,29.371
Raw material consumption,Total,Tonnes per capita,Romania,2021,30.493
Raw material consumption,Total,Tonnes per capita,Romania,2022,30.367
Raw material consumption,Total,Tonnes per capita,Romania,2023,33.125
Raw material consumption,Total,Tonnes per capita,Serbia,2008,16.305
Raw material consumption,Total,Tonnes per capita,Serbia,2009,15.527
Raw material consumption,Total,Tonnes per capita,Serbia,2010,14.958
Raw material consumption,Total,Tonnes per capita,Serbia,2011,15.228
Raw material consumption,Total,Tonnes per capita,Serbia,2012,14.118
Raw material consumption,Total,Tonnes per capita,Serbia,2013,14.713
Raw material consumption,Total,Tonnes per capita,Serbia,2014,14.462
Raw material consumption,Total,Tonnes per capita,Serbia,2015,15.032
Raw material consumption,Total,Tonnes per capita,Serbia,2016,16.669
Raw material consumption,Total,Tonnes per capita,Serbia,2017,16.449
Raw material consumption,Total,Tonnes per capita,Serbia,2018,17.501
Raw material consumption,Total,Tonnes per capita,Serbia,2019,19.395
Raw material consumption,Total,Tonnes per capita,Serbia,2020,19.172
Raw material consumption,Total,Tonnes per capita,Sweden,2008,24.781
Raw material consumption,Total,Tonnes per capita,Sweden,2009,22.398
Raw material consumption,Total,Tonnes per capita,Sweden,2010,23.851
Raw material consumption,Total,Tonnes per capita,Sweden,2011,26.69
Raw material consumption,Total,Tonnes per capita,Sweden,2012,25.711
Raw material consumption,Total,Tonnes per capita,Sweden,2013,27.026
Raw material consumption,Total,Tonnes per capita,Sweden,2014,25.661
Raw material consumption,Total,Tonnes per capita,Sweden,2015,24.532
Raw material consumption,Total,Tonnes per capita,Sweden,2016,25.871
Raw material consumption,Total,Tonnes per capita,Sweden,2017,25.147
Raw material consumption,Total,Tonnes per capita,Sweden,2018,25.956
Raw material consumption,Total,Tonnes per capita,Sweden,2019,25.886
Raw material consumption,Total,Tonnes per capita,Sweden,2020,24.754
Raw material consumption,Total,Tonnes per capita,Sweden,2021,24.564
Raw material consumption,Total,Tonnes per capita,Sweden,2022,25.268
Raw material consumption,Total,Tonnes per capita,Sweden,2023,21.926
Raw material consumption,Total,Tonnes per capita,Slovenia,2008,25.0
Raw material consumption,Total,Tonnes per capita,Slovenia,2009,21.152
Raw material consumption,Total,Tonnes per capita,Slovenia,2010,19.072
Raw material consumption,Total,Tonnes per capita,Slovenia,2011,18.468
Raw material consumption,Total,Tonnes per capita,Slovenia,2012,15.632
Raw material consumption,Total,Tonnes per capita,Slovenia,2013,16.144
Raw material consumption,Total,Tonnes per capita,Slovenia,2014,17.208
Raw material consumption,Total,Tonnes per capita,Slovenia,2015,15.97
Raw material consumption,Total,Tonnes per capita,Slovenia,2016,15.036
Raw material consumption,Total,Tonnes per capita,Slovenia,2017,16.29
Raw material consumption,Total,Tonnes per capita,Slovenia,2018,17.929
Raw material consumption,Total,Tonnes per capita,Slovenia,2019,16.469
Raw material consumption,Total,Tonnes per capita,Slovenia,2020,16.727
Raw material consumption,Total,Tonnes per capita,Slovenia,2021,20.701
Raw material consumption,Total,Tonnes per capita,Slovenia,2022,21.56
Raw material consumption,Total,Tonnes per capita,Slovenia,2023,22.852
Raw material consumption,Total,Tonnes per capita,Slovakia,2008,19.809
Raw material consumption,Total,Tonnes per capita,Slovakia,2009,15.397
Raw material consumption,Total,Tonnes per capita,Slovakia,2010,14.787
Raw material consumption,Total,Tonnes per capita,Slovakia,2011,14.852
Raw material consumption,Total,Tonnes per capita,Slovakia,2012,12.552
Raw material consumption,Total,Tonnes per capita,Slovakia,2013,12.774
Raw material consumption,Total,Tonnes per capita,Slovakia,2014,14.249
Raw material consumption,Total,Tonnes per capita,Slovakia,2015,15.035
Raw material consumption,Total,Tonnes per capita,Slovakia,2016,15.488
Raw material consumption,Total,Tonnes per capita,Slovakia,2017,15.419
Raw material consumption,Total,Tonnes per capita,Slovakia,2018,15.142
Raw material consumption,Total,Tonnes per capita,Slovakia,2019,14.291
Raw material consumption,Total,Tonnes per capita,Slovakia,2020,13.605
Raw material consumption,Total,Tonnes per capita,Slovakia,2021,13.506
Raw material consumption,Total,Tonnes per capita,Slovakia,2022,13.868
Raw material consumption,Total,Tonnes per capita,Slovakia,2023,13.455
