statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2009,43.2
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2010,45.86
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2011,45.77
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2012,45.86
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2013,52.52
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2014,52.52
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2015,52.38
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2016,52.5
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2017,54.39
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2018,54.7
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2019,54.49
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2020,54.93
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2021,58.12
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2022,57.46
Thirty-year average,"Current prices, euro per capita",Losses,Czechia,2023,56.52
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2009,28.62
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2010,31.07
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2011,31.83
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2012,31.83
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2013,37.99
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2014,37.51
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2015,37.91
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2016,39.17
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2017,41.3
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2018,45.18
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2019,48.34
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2020,46.11
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2021,61.56
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2022,65.37
Thirty-year average,"Current prices, euro per capita",Losses,Germany,2023,65.48
