statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, million euro",Losses,Denmark,2017,254.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2018,257.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2019,257.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2020,249.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2021,249.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2022,213.0
Thirty-year average,"Current prices, million euro",Losses,Denmark,2023,219.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2009,9.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2010,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2011,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2012,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2013,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2014,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2015,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2016,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2017,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2018,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2019,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2020,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2021,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2022,11.0
Thirty-year average,"Current prices, million euro",Losses,Estonia,2023,11.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2009,336.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2010,336.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2011,336.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2012,336.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2013,337.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2014,337.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2015,337.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2016,339.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2017,317.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2018,319.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2019,329.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2020,234.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2021,256.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2022,256.0
Thirty-year average,"Current prices, million euro",Losses,Greece,2023,385.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2009,2079.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2010,1996.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2011,1873.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2012,1770.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2013,1276.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2014,1146.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2015,1150.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2016,1164.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2017,1095.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2018,1127.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2019,1205.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2020,1068.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2021,1162.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2022,1526.0
Thirty-year average,"Current prices, million euro",Losses,Spain,2023,1760.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2009,12750.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2010,13294.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2011,13313.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2012,13122.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2013,13220.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2014,13395.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2015,13689.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2016,13913.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2017,14418.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2018,15143.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2019,15853.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2020,15262.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2021,17267.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2022,18857.0
Thirty-year average,"Current prices, million euro",Losses,European Union - 27 countries (from 2020),2023,20107.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2009,64.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2010,69.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2011,74.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2012,74.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2013,74.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2014,62.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2015,62.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2016,62.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2017,18.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2018,18.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2019,18.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2020,21.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2021,22.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2022,22.0
Thirty-year average,"Current prices, million euro",Losses,Finland,2023,22.0
Thirty-year average,"Current prices, million euro",Losses,France,2009,2508.0
Thirty-year average,"Current prices, million euro",Losses,France,2010,2679.0
Thirty-year average,"Current prices, million euro",Losses,France,2011,2737.0
Thirty-year average,"Current prices, million euro",Losses,France,2012,2776.0
Thirty-year average,"Current prices, million euro",Losses,France,2013,2726.0
Thirty-year average,"Current prices, million euro",Losses,France,2014,2823.0
Thirty-year average,"Current prices, million euro",Losses,France,2015,2836.0
Thirty-year average,"Current prices, million euro",Losses,France,2016,2903.0
Thirty-year average,"Current prices, million euro",Losses,France,2017,3023.0
Thirty-year average,"Current prices, million euro",Losses,France,2018,3110.0
Thirty-year average,"Current prices, million euro",Losses,France,2019,3213.0
Thirty-year average,"Current prices, million euro",Losses,France,2020,3189.0
Thirty-year average,"Current prices, million euro",Losses,France,2021,3345.0
Thirty-year average,"Current prices, million euro",Losses,France,2022,3589.0
Thirty-year average,"Current prices, million euro",Losses,France,2023,3599.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2009,46.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2010,66.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2011,66.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2012,71.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2013,71.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2014,96.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2015,103.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2016,103.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2017,109.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2018,120.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2019,120.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2020,122.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2021,122.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2022,133.0
Thirty-year average,"Current prices, million euro",Losses,Croatia,2023,138.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2009,236.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2010,257.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2011,258.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2012,260.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2013,261.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2014,262.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2015,263.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2016,162.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2017,163.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2018,163.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2019,164.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2020,164.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2021,165.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2022,192.0
Thirty-year average,"Current prices, million euro",Losses,Hungary,2023,193.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2009,54.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2010,53.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2011,64.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2012,64.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2013,67.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2014,96.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2015,104.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2016,103.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2017,113.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2018,107.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2019,109.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2020,109.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2021,109.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2022,109.0
Thirty-year average,"Current prices, million euro",Losses,Ireland,2023,116.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2009,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2010,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2011,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2012,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2013,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2014,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2015,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2016,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2017,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2018,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2019,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2020,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2021,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2022,1.0
Thirty-year average,"Current prices, million euro",Losses,Iceland,2023,1.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2009,2012.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2010,2034.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2011,2086.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2012,1951.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2013,1950.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2014,1998.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2015,2101.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2016,2155.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2017,2327.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2018,2516.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2019,2692.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2020,2738.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2021,2743.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2022,3254.0
Thirty-year average,"Current prices, million euro",Losses,Italy,2023,3746.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2009,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2010,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2011,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2012,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2013,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2014,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2015,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2016,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2017,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2018,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2019,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2020,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2021,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2022,1.0
Thirty-year average,"Current prices, million euro",Losses,Liechtenstein,2023,1.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2009,42.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2010,42.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2011,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2012,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2013,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2014,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2015,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2016,40.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2017,59.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2018,59.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2019,59.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2020,59.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2021,59.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2022,34.0
Thirty-year average,"Current prices, million euro",Losses,Lithuania,2023,48.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2009,27.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2010,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2011,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2012,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2013,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2014,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2015,28.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2016,30.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2017,30.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2018,30.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2019,35.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2020,10.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2021,16.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2022,16.0
Thirty-year average,"Current prices, million euro",Losses,Luxembourg,2023,16.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2009,21.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2010,21.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2011,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2012,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2013,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2014,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2015,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2016,18.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2017,34.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2018,38.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2019,38.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2020,38.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2021,38.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2022,38.0
Thirty-year average,"Current prices, million euro",Losses,Latvia,2023,39.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2009,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2010,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2011,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2012,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2013,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2014,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2015,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2016,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2017,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2018,1.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2019,2.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2020,2.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2021,2.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2022,2.0
Thirty-year average,"Current prices, million euro",Losses,Malta,2023,2.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2009,246.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2010,246.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2011,246.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2012,246.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2013,255.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2014,255.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2015,256.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2016,291.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2017,291.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2018,291.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2019,292.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2020,206.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2021,231.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2022,256.0
Thirty-year average,"Current prices, million euro",Losses,Netherlands,2023,252.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2009,88.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2010,87.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2011,95.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2012,96.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2013,103.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2014,105.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2015,111.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2016,116.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2017,105.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2018,106.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2019,108.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2020,101.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2021,104.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2022,82.0
Thirty-year average,"Current prices, million euro",Losses,Norway,2023,92.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2009,533.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2010,555.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2011,555.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2012,528.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2013,518.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2014,518.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2015,466.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2016,466.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2017,443.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2018,473.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2019,473.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2020,465.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2021,465.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2022,465.0
Thirty-year average,"Current prices, million euro",Losses,Poland,2023,465.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2009,324.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2010,376.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2011,376.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2012,376.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2013,372.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2014,372.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2015,359.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2016,369.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2017,444.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2018,450.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2019,470.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2020,474.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2021,474.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2022,513.0
Thirty-year average,"Current prices, million euro",Losses,Portugal,2023,515.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2009,397.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2010,447.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2011,447.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2012,448.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2013,449.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2014,469.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2015,592.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2016,592.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2017,593.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2018,598.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2019,598.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2020,614.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2021,603.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2022,641.0
Thirty-year average,"Current prices, million euro",Losses,Romania,2023,641.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2009,98.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2010,98.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2011,98.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2012,98.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2013,101.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2014,108.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2015,108.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2016,108.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2017,108.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2018,111.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2019,116.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2020,118.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2021,120.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2022,120.0
Thirty-year average,"Current prices, million euro",Losses,Sweden,2023,123.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2009,156.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2010,165.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2011,165.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2012,184.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2013,184.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2014,232.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2015,232.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2016,232.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2017,239.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2018,239.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2019,246.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2020,181.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2021,180.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2022,172.0
Thirty-year average,"Current prices, million euro",Losses,Slovenia,2023,489.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2009,57.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2010,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2011,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2012,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2013,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2014,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2015,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2016,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2017,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2018,59.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2019,60.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2020,61.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2021,62.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2022,65.0
Thirty-year average,"Current prices, million euro",Losses,Slovakia,2023,65.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2009,154.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2010,154.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2011,154.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2012,155.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2013,155.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2014,155.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2015,155.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2016,155.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2017,176.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2018,176.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2019,181.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2020,185.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2021,207.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2022,211.0
Thirty-year average,"Current prices, million euro",Losses,Türkiye,2023,214.0
Annual value,"Current prices, euro per capita",Losses,Austria,1980,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1981,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1982,0.26
Annual value,"Current prices, euro per capita",Losses,Austria,1983,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1984,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1985,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1986,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1987,58.22
Annual value,"Current prices, euro per capita",Losses,Austria,1988,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1989,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1990,70.98
Annual value,"Current prices, euro per capita",Losses,Austria,1991,25.15
Annual value,"Current prices, euro per capita",Losses,Austria,1992,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1993,0.25
Annual value,"Current prices, euro per capita",Losses,Austria,1994,0.38
Annual value,"Current prices, euro per capita",Losses,Austria,1995,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1996,0.88
Annual value,"Current prices, euro per capita",Losses,Austria,1997,41.16
Annual value,"Current prices, euro per capita",Losses,Austria,1998,0.0
Annual value,"Current prices, euro per capita",Losses,Austria,1999,23.4
Annual value,"Current prices, euro per capita",Losses,Austria,2000,38.19
Annual value,"Current prices, euro per capita",Losses,Austria,2001,0.12
Annual value,"Current prices, euro per capita",Losses,Austria,2002,488.12
Annual value,"Current prices, euro per capita",Losses,Austria,2003,50.48
