watpol,unit,country,year,value
Nitrate in groundwater,Milligrams per litre,Belgium,2018,28.63
Nitrate in groundwater,Milligrams per litre,Belgium,2019,28.25
Nitrate in groundwater,Milligrams per litre,Belgium,2020,27.9
Nitrate in groundwater,Milligrams per litre,Belgium,2021,28.64
Nitrate in groundwater,Milligrams per litre,Belgium,2022,28.64
Nitrate in groundwater,Milligrams per litre,Bulgaria,2000,29.52
Nitrate in groundwater,Milligrams per litre,Bulgaria,2001,26.73
Nitrate in groundwater,Milligrams per litre,Bulgaria,2002,24.1
Nitrate in groundwater,Milligrams per litre,Bulgaria,2003,26.11
Nitrate in groundwater,Milligrams per litre,Bulgaria,2004,23.57
Nitrate in groundwater,Milligrams per litre,Bulgaria,2005,24.34
Nitrate in groundwater,Milligrams per litre,Bulgaria,2006,25.79
Nitrate in groundwater,Milligrams per litre,Bulgaria,2007,26.0
Nitrate in groundwater,Milligrams per litre,Bulgaria,2008,25.82
Nitrate in groundwater,Milligrams per litre,Bulgaria,2009,27.18
Nitrate in groundwater,Milligrams per litre,Bulgaria,2010,25.13
Nitrate in groundwater,Milligrams per litre,Bulgaria,2011,25.09
Nitrate in groundwater,Milligrams per litre,Bulgaria,2012,28.05
Nitrate in groundwater,Milligrams per litre,Bulgaria,2013,28.31
Nitrate in groundwater,Milligrams per litre,Bulgaria,2014,26.23
Nitrate in groundwater,Milligrams per litre,Bulgaria,2015,31.26
Nitrate in groundwater,Milligrams per litre,Bulgaria,2016,32.76
Nitrate in groundwater,Milligrams per litre,Bulgaria,2017,29.68
Nitrate in groundwater,Milligrams per litre,Bulgaria,2018,29.79
Nitrate in groundwater,Milligrams per litre,Bulgaria,2019,29.56
Nitrate in groundwater,Milligrams per litre,Bulgaria,2020,30.56
Nitrate in groundwater,Milligrams per litre,Bulgaria,2021,31.36
Nitrate in groundwater,Milligrams per litre,Bulgaria,2022,34.89
Nitrate in groundwater,Milligrams per litre,Switzerland,2000,15.72
Nitrate in groundwater,Milligrams per litre,Switzerland,2001,15.72
Nitrate in groundwater,Milligrams per litre,Switzerland,2002,15.71
Nitrate in groundwater,Milligrams per litre,Switzerland,2003,15.5
Nitrate in groundwater,Milligrams per litre,Switzerland,2004,16.69
Nitrate in groundwater,Milligrams per litre,Switzerland,2005,16.37
Nitrate in groundwater,Milligrams per litre,Switzerland,2006,17.09
Nitrate in groundwater,Milligrams per litre,Switzerland,2007,16.5
Nitrate in groundwater,Milligrams per litre,Switzerland,2008,15.86
Nitrate in groundwater,Milligrams per litre,Switzerland,2009,15.8
Nitrate in groundwater,Milligrams per litre,Switzerland,2010,15.69
Nitrate in groundwater,Milligrams per litre,Switzerland,2011,15.26
Nitrate in groundwater,Milligrams per litre,Switzerland,2012,15.13
Nitrate in groundwater,Milligrams per litre,Switzerland,2013,16.14
Nitrate in groundwater,Milligrams per litre,Switzerland,2014,15.23
Nitrate in groundwater,Milligrams per litre,Switzerland,2015,14.76
Nitrate in groundwater,Milligrams per litre,Switzerland,2016,14.7
Nitrate in groundwater,Milligrams per litre,Switzerland,2017,13.92
Nitrate in groundwater,Milligrams per litre,Switzerland,2018,13.91
Nitrate in groundwater,Milligrams per litre,Switzerland,2019,14.27
Nitrate in groundwater,Milligrams per litre,Switzerland,2020,14.65
Nitrate in groundwater,Milligrams per litre,Switzerland,2021,15.27
Nitrate in groundwater,Milligrams per litre,Switzerland,2022,14.53
Nitrate in groundwater,Milligrams per litre,Cyprus,2000,14.65
Nitrate in groundwater,Milligrams per litre,Cyprus,2001,16.08
Nitrate in groundwater,Milligrams per litre,Cyprus,2002,12.79
Nitrate in groundwater,Milligrams per litre,Cyprus,2003,18.91
Nitrate in groundwater,Milligrams per litre,Cyprus,2004,22.18
Nitrate in groundwater,Milligrams per litre,Cyprus,2005,27.68
Nitrate in groundwater,Milligrams per litre,Cyprus,2006,30.14
Nitrate in groundwater,Milligrams per litre,Cyprus,2007,38.25
Nitrate in groundwater,Milligrams per litre,Cyprus,2008,37.05
Nitrate in groundwater,Milligrams per litre,Cyprus,2009,41.58
Nitrate in groundwater,Milligrams per litre,Cyprus,2010,47.38
Nitrate in groundwater,Milligrams per litre,Cyprus,2011,39.14
Nitrate in groundwater,Milligrams per litre,Cyprus,2012,41.16
Nitrate in groundwater,Milligrams per litre,Cyprus,2013,43.57
Nitrate in groundwater,Milligrams per litre,Cyprus,2014,62.5
Nitrate in groundwater,Milligrams per litre,Cyprus,2015,70.48
Nitrate in groundwater,Milligrams per litre,Cyprus,2016,97.64
Nitrate in groundwater,Milligrams per litre,Cyprus,2017,51.85
Nitrate in groundwater,Milligrams per litre,Cyprus,2018,55.27
Nitrate in groundwater,Milligrams per litre,Cyprus,2019,48.84
Nitrate in groundwater,Milligrams per litre,Cyprus,2020,7.84
Nitrate in groundwater,Milligrams per litre,Cyprus,2021,7.84
Nitrate in groundwater,Milligrams per litre,Cyprus,2022,7.84
Nitrate in groundwater,Milligrams per litre,Czechia,2000,23.34
Nitrate in groundwater,Milligrams per litre,Czechia,2001,21.07
Nitrate in groundwater,Milligrams per litre,Czechia,2002,19.77
Nitrate in groundwater,Milligrams per litre,Czechia,2003,20.06
Nitrate in groundwater,Milligrams per litre,Czechia,2004,19.64
Nitrate in groundwater,Milligrams per litre,Czechia,2005,20.22
Nitrate in groundwater,Milligrams per litre,Czechia,2006,20.45
Nitrate in groundwater,Milligrams per litre,Czechia,2007,20.65
Nitrate in groundwater,Milligrams per litre,Czechia,2008,19.13
Nitrate in groundwater,Milligrams per litre,Czechia,2009,18.48
Nitrate in groundwater,Milligrams per litre,Czechia,2010,19.5
Nitrate in groundwater,Milligrams per litre,Czechia,2011,18.99
Nitrate in groundwater,Milligrams per litre,Czechia,2012,19.0
Nitrate in groundwater,Milligrams per litre,Czechia,2013,18.48
Nitrate in groundwater,Milligrams per litre,Czechia,2014,18.44
Nitrate in groundwater,Milligrams per litre,Czechia,2015,17.95
Nitrate in groundwater,Milligrams per litre,Czechia,2016,18.84
Nitrate in groundwater,Milligrams per litre,Czechia,2017,18.42
Nitrate in groundwater,Milligrams per litre,Czechia,2018,17.99
Nitrate in groundwater,Milligrams per litre,Czechia,2019,17.68
Nitrate in groundwater,Milligrams per litre,Czechia,2020,18.69
Nitrate in groundwater,Milligrams per litre,Czechia,2021,18.44
Nitrate in groundwater,Milligrams per litre,Czechia,2022,18.61
Nitrate in groundwater,Milligrams per litre,Germany,2000,24.92
Nitrate in groundwater,Milligrams per litre,Germany,2001,25.2
Nitrate in groundwater,Milligrams per litre,Germany,2002,24.85
Nitrate in groundwater,Milligrams per litre,Germany,2003,24.41
Nitrate in groundwater,Milligrams per litre,Germany,2004,24.68
Nitrate in groundwater,Milligrams per litre,Germany,2005,24.83
Nitrate in groundwater,Milligrams per litre,Germany,2006,23.68
Nitrate in groundwater,Milligrams per litre,Germany,2007,22.85
Nitrate in groundwater,Milligrams per litre,Germany,2008,24.92
Nitrate in groundwater,Milligrams per litre,Germany,2009,23.96
Nitrate in groundwater,Milligrams per litre,Germany,2010,24.92
Nitrate in groundwater,Milligrams per litre,Germany,2011,23.79
Nitrate in groundwater,Milligrams per litre,Germany,2012,23.84
Nitrate in groundwater,Milligrams per litre,Germany,2013,24.82
Nitrate in groundwater,Milligrams per litre,Germany,2014,25.81
Nitrate in groundwater,Milligrams per litre,Germany,2015,26.8
Nitrate in groundwater,Milligrams per litre,Germany,2016,27.78
Nitrate in groundwater,Milligrams per litre,Germany,2017,27.07
Nitrate in groundwater,Milligrams per litre,Germany,2018,26.9
Nitrate in groundwater,Milligrams per litre,Germany,2019,26.17
Nitrate in groundwater,Milligrams per litre,Germany,2020,24.87
Nitrate in groundwater,Milligrams per litre,Germany,2021,24.03
Nitrate in groundwater,Milligrams per litre,Germany,2022,23.74
Nitrate in groundwater,Milligrams per litre,Denmark,2000,51.52
Nitrate in groundwater,Milligrams per litre,Denmark,2001,53.35
Nitrate in groundwater,Milligrams per litre,Denmark,2002,47.61
Nitrate in groundwater,Milligrams per litre,Denmark,2003,43.52
Nitrate in groundwater,Milligrams per litre,Denmark,2004,41.69
Nitrate in groundwater,Milligrams per litre,Denmark,2005,39.92
Nitrate in groundwater,Milligrams per litre,Denmark,2006,36.29
Nitrate in groundwater,Milligrams per litre,Denmark,2007,38.76
Nitrate in groundwater,Milligrams per litre,Denmark,2008,40.59
Nitrate in groundwater,Milligrams per litre,Denmark,2009,36.95
Nitrate in groundwater,Milligrams per litre,Denmark,2010,40.38
Nitrate in groundwater,Milligrams per litre,Denmark,2011,38.95
Nitrate in groundwater,Milligrams per litre,Denmark,2012,46.43
Nitrate in groundwater,Milligrams per litre,Denmark,2013,40.76
Nitrate in groundwater,Milligrams per litre,Denmark,2014,41.32
Nitrate in groundwater,Milligrams per litre,Denmark,2015,31.57
Nitrate in groundwater,Milligrams per litre,Denmark,2016,14.65
Nitrate in groundwater,Milligrams per litre,Denmark,2017,15.45
Nitrate in groundwater,Milligrams per litre,Denmark,2018,28.02
Nitrate in groundwater,Milligrams per litre,Denmark,2019,15.95
Nitrate in groundwater,Milligrams per litre,Denmark,2020,28.11
Nitrate in groundwater,Milligrams per litre,Denmark,2021,15.06
Nitrate in groundwater,Milligrams per litre,Denmark,2022,26.73
Nitrate in groundwater,Milligrams per litre,Estonia,2000,7.08
Nitrate in groundwater,Milligrams per litre,Estonia,2001,5.39
Nitrate in groundwater,Milligrams per litre,Estonia,2002,4.45
Nitrate in groundwater,Milligrams per litre,Estonia,2003,5.92
Nitrate in groundwater,Milligrams per litre,Estonia,2004,2.56
Nitrate in groundwater,Milligrams per litre,Estonia,2005,4.74
Nitrate in groundwater,Milligrams per litre,Estonia,2006,5.92
Nitrate in groundwater,Milligrams per litre,Estonia,2007,5.98
Nitrate in groundwater,Milligrams per litre,Estonia,2008,9.66
Nitrate in groundwater,Milligrams per litre,Estonia,2009,8.07
Nitrate in groundwater,Milligrams per litre,Estonia,2010,6.52
Nitrate in groundwater,Milligrams per litre,Estonia,2011,7.59
Nitrate in groundwater,Milligrams per litre,Estonia,2012,9.53
Nitrate in groundwater,Milligrams per litre,Estonia,2013,7.81
Nitrate in groundwater,Milligrams per litre,Estonia,2014,7.02
Nitrate in groundwater,Milligrams per litre,Estonia,2015,8.38
Nitrate in groundwater,Milligrams per litre,Estonia,2016,8.51
Nitrate in groundwater,Milligrams per litre,Estonia,2017,8.02
Nitrate in groundwater,Milligrams per litre,Estonia,2018,8.04
Nitrate in groundwater,Milligrams per litre,Estonia,2019,8.39
Nitrate in groundwater,Milligrams per litre,Estonia,2020,6.36
Nitrate in groundwater,Milligrams per litre,Estonia,2021,7.28
Nitrate in groundwater,Milligrams per litre,Estonia,2022,7.28
Nitrate in groundwater,Milligrams per litre,Spain,2000,54.25
Nitrate in groundwater,Milligrams per litre,Spain,2001,54.77
Nitrate in groundwater,Milligrams per litre,Spain,2002,55.3
Nitrate in groundwater,Milligrams per litre,Spain,2003,55.82
Nitrate in groundwater,Milligrams per litre,Spain,2004,57.09
Nitrate in groundwater,Milligrams per litre,Spain,2005,56.16
Nitrate in groundwater,Milligrams per litre,Spain,2006,52.85
Nitrate in groundwater,Milligrams per litre,Spain,2007,61.73
Nitrate in groundwater,Milligrams per litre,Spain,2008,48.56
Nitrate in groundwater,Milligrams per litre,Spain,2009,48.97
Nitrate in groundwater,Milligrams per litre,Spain,2010,48.89
Nitrate in groundwater,Milligrams per litre,Spain,2011,56.88
Nitrate in groundwater,Milligrams per litre,Spain,2012,55.51
Nitrate in groundwater,Milligrams per litre,Spain,2013,54.83
Nitrate in groundwater,Milligrams per litre,Spain,2014,54.15
Nitrate in groundwater,Milligrams per litre,Spain,2015,53.47
Nitrate in groundwater,Milligrams per litre,Spain,2016,52.79
Nitrate in groundwater,Milligrams per litre,Spain,2017,57.26
Nitrate in groundwater,Milligrams per litre,Spain,2018,52.89
Nitrate in groundwater,Milligrams per litre,Spain,2019,49.88
Nitrate in groundwater,Milligrams per litre,Spain,2020,44.1
Nitrate in groundwater,Milligrams per litre,Spain,2021,42.46
Nitrate in groundwater,Milligrams per litre,Spain,2022,49.76
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2000,21.23
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2001,21.09
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2002,20.59
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2003,20.91
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2004,20.79
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2005,20.86
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2006,20.88
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2007,21.27
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2008,21.39
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2009,21.1
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2010,21.56
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2011,20.71
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2012,21.34
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2013,21.22
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2014,21.32
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2015,21.35
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2016,21.64
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2017,21.06
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2018,21.18
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2019,20.82
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2020,20.43
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2021,20.59
Nitrate in groundwater,Milligrams per litre,European Union (aggregate changing according to the context),2022,20.65
Nitrate in groundwater,Milligrams per litre,Finland,2000,0.59
Nitrate in groundwater,Milligrams per litre,Finland,2001,0.42
Nitrate in groundwater,Milligrams per litre,Finland,2002,0.32
Nitrate in groundwater,Milligrams per litre,Finland,2003,0.33
Nitrate in groundwater,Milligrams per litre,Finland,2004,0.36
Nitrate in groundwater,Milligrams per litre,Finland,2005,0.43
Nitrate in groundwater,Milligrams per litre,Finland,2006,0.5
Nitrate in groundwater,Milligrams per litre,Finland,2007,0.57
Nitrate in groundwater,Milligrams per litre,Finland,2008,0.42
Nitrate in groundwater,Milligrams per litre,Finland,2009,0.24
Nitrate in groundwater,Milligrams per litre,Finland,2010,0.26
Nitrate in groundwater,Milligrams per litre,Finland,2011,0.24
Nitrate in groundwater,Milligrams per litre,Finland,2012,0.37
Nitrate in groundwater,Milligrams per litre,Finland,2013,0.7
Nitrate in groundwater,Milligrams per litre,Finland,2014,0.79
Nitrate in groundwater,Milligrams per litre,Finland,2015,0.6
Nitrate in groundwater,Milligrams per litre,Finland,2016,0.41
Nitrate in groundwater,Milligrams per litre,Finland,2017,0.34
Nitrate in groundwater,Milligrams per litre,Finland,2018,0.35
Nitrate in groundwater,Milligrams per litre,Finland,2019,0.22
Nitrate in groundwater,Milligrams per litre,Finland,2020,0.24
Nitrate in groundwater,Milligrams per litre,Finland,2021,0.16
Nitrate in groundwater,Milligrams per litre,Finland,2022,0.16
Nitrate in groundwater,Milligrams per litre,France,2000,18.34
Nitrate in groundwater,Milligrams per litre,France,2001,18.62
Nitrate in groundwater,Milligrams per litre,France,2002,18.12
Nitrate in groundwater,Milligrams per litre,France,2003,18.72
Nitrate in groundwater,Milligrams per litre,France,2004,18.37
Nitrate in groundwater,Milligrams per litre,France,2005,18.17
Nitrate in groundwater,Milligrams per litre,France,2006,18.23
Nitrate in groundwater,Milligrams per litre,France,2007,18.94
Nitrate in groundwater,Milligrams per litre,France,2008,19.56
Nitrate in groundwater,Milligrams per litre,France,2009,19.59
Nitrate in groundwater,Milligrams per litre,France,2010,19.78
Nitrate in groundwater,Milligrams per litre,France,2011,18.63
Nitrate in groundwater,Milligrams per litre,France,2012,19.77
Nitrate in groundwater,Milligrams per litre,France,2013,19.32
Nitrate in groundwater,Milligrams per litre,France,2014,18.89
Nitrate in groundwater,Milligrams per litre,France,2015,18.17
Nitrate in groundwater,Milligrams per litre,France,2016,18.07
Nitrate in groundwater,Milligrams per litre,France,2017,17.97
Nitrate in groundwater,Milligrams per litre,France,2018,18.52
Nitrate in groundwater,Milligrams per litre,France,2019,18.29
Nitrate in groundwater,Milligrams per litre,France,2020,18.51
Nitrate in groundwater,Milligrams per litre,France,2021,19.27
Nitrate in groundwater,Milligrams per litre,France,2022,18.57
Nitrate in groundwater,Milligrams per litre,Ireland,2000,15.66
Nitrate in groundwater,Milligrams per litre,Ireland,2001,15.79
Nitrate in groundwater,Milligrams per litre,Ireland,2002,16.4
Nitrate in groundwater,Milligrams per litre,Ireland,2003,15.88
Nitrate in groundwater,Milligrams per litre,Ireland,2004,16.89
Nitrate in groundwater,Milligrams per litre,Ireland,2005,16.46
Nitrate in groundwater,Milligrams per litre,Ireland,2006,16.65
Nitrate in groundwater,Milligrams per litre,Ireland,2007,16.71
Nitrate in groundwater,Milligrams per litre,Ireland,2008,13.05
Nitrate in groundwater,Milligrams per litre,Ireland,2009,10.99
Nitrate in groundwater,Milligrams per litre,Ireland,2010,13.45
Nitrate in groundwater,Milligrams per litre,Ireland,2011,13.33
Nitrate in groundwater,Milligrams per litre,Ireland,2012,11.76
Nitrate in groundwater,Milligrams per litre,Ireland,2013,11.83
Nitrate in groundwater,Milligrams per litre,Ireland,2014,14.1
Nitrate in groundwater,Milligrams per litre,Ireland,2015,13.97
Nitrate in groundwater,Milligrams per litre,Ireland,2016,12.48
Nitrate in groundwater,Milligrams per litre,Ireland,2017,12.72
Nitrate in groundwater,Milligrams per litre,Ireland,2018,12.63
Nitrate in groundwater,Milligrams per litre,Ireland,2019,14.29
Nitrate in groundwater,Milligrams per litre,Ireland,2020,13.77
Nitrate in groundwater,Milligrams per litre,Ireland,2021,13.16
Nitrate in groundwater,Milligrams per litre,Ireland,2022,13.81
Nitrate in groundwater,Milligrams per litre,Italy,2000,18.62
Nitrate in groundwater,Milligrams per litre,Italy,2001,18.62
Nitrate in groundwater,Milligrams per litre,Italy,2002,17.42
Nitrate in groundwater,Milligrams per litre,Italy,2003,14.54
Nitrate in groundwater,Milligrams per litre,Italy,2004,16.32
Nitrate in groundwater,Milligrams per litre,Italy,2005,16.94
Nitrate in groundwater,Milligrams per litre,Italy,2006,18.5
Nitrate in groundwater,Milligrams per litre,Italy,2007,18.93
Nitrate in groundwater,Milligrams per litre,Italy,2008,22.39
Nitrate in groundwater,Milligrams per litre,Italy,2009,25.76
Nitrate in groundwater,Milligrams per litre,Italy,2010,16.32
Nitrate in groundwater,Milligrams per litre,Italy,2011,20.93
Nitrate in groundwater,Milligrams per litre,Italy,2012,19.14
Nitrate in groundwater,Milligrams per litre,Italy,2013,21.09
Nitrate in groundwater,Milligrams per litre,Italy,2014,23.04
Nitrate in groundwater,Milligrams per litre,Italy,2015,22.82
Nitrate in groundwater,Milligrams per litre,Italy,2016,20.95
Nitrate in groundwater,Milligrams per litre,Italy,2017,19.98
Nitrate in groundwater,Milligrams per litre,Italy,2018,19.01
Nitrate in groundwater,Milligrams per litre,Italy,2019,18.65
Nitrate in groundwater,Milligrams per litre,Italy,2020,18.3
Nitrate in groundwater,Milligrams per litre,Italy,2021,17.94
Nitrate in groundwater,Milligrams per litre,Italy,2022,19.38
Nitrate in groundwater,Milligrams per litre,Latvia,2000,0.19
Nitrate in groundwater,Milligrams per litre,Latvia,2001,0.17
Nitrate in groundwater,Milligrams per litre,Latvia,2002,0.46
Nitrate in groundwater,Milligrams per litre,Latvia,2003,0.11
Nitrate in groundwater,Milligrams per litre,Latvia,2004,1.23
Nitrate in groundwater,Milligrams per litre,Latvia,2005,0.86
Nitrate in groundwater,Milligrams per litre,Latvia,2006,1.36
Nitrate in groundwater,Milligrams per litre,Latvia,2007,6.21
Nitrate in groundwater,Milligrams per litre,Latvia,2008,6.64
Nitrate in groundwater,Milligrams per litre,Latvia,2009,7.06
Nitrate in groundwater,Milligrams per litre,Latvia,2010,6.01
Nitrate in groundwater,Milligrams per litre,Latvia,2011,4.96
Nitrate in groundwater,Milligrams per litre,Latvia,2012,3.92
Nitrate in groundwater,Milligrams per litre,Latvia,2013,2.87
Nitrate in groundwater,Milligrams per litre,Latvia,2014,5.1
Nitrate in groundwater,Milligrams per litre,Latvia,2015,3.92
Nitrate in groundwater,Milligrams per litre,Latvia,2016,4.85
Nitrate in groundwater,Milligrams per litre,Latvia,2017,4.54
Nitrate in groundwater,Milligrams per litre,Latvia,2018,3.27
Nitrate in groundwater,Milligrams per litre,Latvia,2019,3.62
Nitrate in groundwater,Milligrams per litre,Latvia,2020,3.33
Nitrate in groundwater,Milligrams per litre,Latvia,2021,3.38
Nitrate in groundwater,Milligrams per litre,Latvia,2022,4.49
Nitrate in groundwater,Milligrams per litre,Malta,2000,51.11
Nitrate in groundwater,Milligrams per litre,Malta,2001,51.11
Nitrate in groundwater,Milligrams per litre,Malta,2002,51.11
Nitrate in groundwater,Milligrams per litre,Malta,2003,49.18
Nitrate in groundwater,Milligrams per litre,Malta,2004,53.99
Nitrate in groundwater,Milligrams per litre,Malta,2005,54.64
Nitrate in groundwater,Milligrams per litre,Malta,2006,54.92
Nitrate in groundwater,Milligrams per litre,Malta,2007,51.58
Nitrate in groundwater,Milligrams per litre,Malta,2008,48.32
Nitrate in groundwater,Milligrams per litre,Malta,2009,53.04
Nitrate in groundwater,Milligrams per litre,Malta,2010,57.76
Nitrate in groundwater,Milligrams per litre,Malta,2011,62.49
Nitrate in groundwater,Milligrams per litre,Malta,2012,63.63
Nitrate in groundwater,Milligrams per litre,Malta,2013,59.75
Nitrate in groundwater,Milligrams per litre,Malta,2014,59.8
Nitrate in groundwater,Milligrams per litre,Malta,2015,59.85
Nitrate in groundwater,Milligrams per litre,Malta,2016,59.9
Nitrate in groundwater,Milligrams per litre,Malta,2017,59.95
Nitrate in groundwater,Milligrams per litre,Malta,2018,53.38
Nitrate in groundwater,Milligrams per litre,Malta,2019,59.43
Nitrate in groundwater,Milligrams per litre,Malta,2020,59.21
Nitrate in groundwater,Milligrams per litre,Malta,2021,59.0
Nitrate in groundwater,Milligrams per litre,Malta,2022,58.21
Nitrate in groundwater,Milligrams per litre,Portugal,2000,24.01
Nitrate in groundwater,Milligrams per litre,Portugal,2001,20.09
Nitrate in groundwater,Milligrams per litre,Portugal,2002,24.42
Nitrate in groundwater,Milligrams per litre,Portugal,2003,26.66
Nitrate in groundwater,Milligrams per litre,Portugal,2004,18.47
Nitrate in groundwater,Milligrams per litre,Portugal,2005,18.85
Nitrate in groundwater,Milligrams per litre,Portugal,2006,22.36
Nitrate in groundwater,Milligrams per litre,Portugal,2007,20.72
Nitrate in groundwater,Milligrams per litre,Portugal,2008,18.05
Nitrate in groundwater,Milligrams per litre,Portugal,2009,18.2
Nitrate in groundwater,Milligrams per litre,Portugal,2010,23.02
Nitrate in groundwater,Milligrams per litre,Portugal,2011,18.52
Nitrate in groundwater,Milligrams per litre,Portugal,2012,20.46
Nitrate in groundwater,Milligrams per litre,Portugal,2013,17.33
Nitrate in groundwater,Milligrams per litre,Portugal,2014,14.88
Nitrate in groundwater,Milligrams per litre,Portugal,2015,16.76
Nitrate in groundwater,Milligrams per litre,Portugal,2016,19.32
Nitrate in groundwater,Milligrams per litre,Portugal,2017,18.46
Nitrate in groundwater,Milligrams per litre,Portugal,2018,18.28
Nitrate in groundwater,Milligrams per litre,Portugal,2019,17.99
Nitrate in groundwater,Milligrams per litre,Portugal,2020,21.47
Nitrate in groundwater,Milligrams per litre,Portugal,2021,22.56
Nitrate in groundwater,Milligrams per litre,Portugal,2022,23.42
Nitrate in groundwater,Milligrams per litre,Serbia,2000,4.84
Nitrate in groundwater,Milligrams per litre,Serbia,2001,4.84
Nitrate in groundwater,Milligrams per litre,Serbia,2002,4.84
Nitrate in groundwater,Milligrams per litre,Serbia,2003,4.84
Nitrate in groundwater,Milligrams per litre,Serbia,2004,2.78
Nitrate in groundwater,Milligrams per litre,Serbia,2005,5.15
Nitrate in groundwater,Milligrams per litre,Serbia,2006,7.08
Nitrate in groundwater,Milligrams per litre,Serbia,2007,3.38
Nitrate in groundwater,Milligrams per litre,Serbia,2008,4.15
Nitrate in groundwater,Milligrams per litre,Serbia,2009,3.8
Nitrate in groundwater,Milligrams per litre,Serbia,2010,2.36
Nitrate in groundwater,Milligrams per litre,Serbia,2011,2.47
Nitrate in groundwater,Milligrams per litre,Serbia,2012,1.9
Nitrate in groundwater,Milligrams per litre,Serbia,2013,5.2
Nitrate in groundwater,Milligrams per litre,Serbia,2014,8.43
Nitrate in groundwater,Milligrams per litre,Serbia,2015,13.1
Nitrate in groundwater,Milligrams per litre,Serbia,2016,16.89
Nitrate in groundwater,Milligrams per litre,Serbia,2017,11.58
Nitrate in groundwater,Milligrams per litre,Serbia,2018,7.56
