watpol,unit,country,year,value
Nitrate in groundwater,Milligrams per litre,Austria,2000,26.01
Nitrate in groundwater,Milligrams per litre,Austria,2001,25.61
Nitrate in groundwater,Milligrams per litre,Austria,2002,27.26
Nitrate in groundwater,Milligrams per litre,Austria,2003,26.84
Nitrate in groundwater,Milligrams per litre,Austria,2004,26.8
Nitrate in groundwater,Milligrams per litre,Austria,2005,25.9
Nitrate in groundwater,Milligrams per litre,Austria,2006,26.25
Nitrate in groundwater,Milligrams per litre,Austria,2007,25.46
Nitrate in groundwater,Milligrams per litre,Austria,2008,24.77
Nitrate in groundwater,Milligrams per litre,Austria,2009,25.52
Nitrate in groundwater,Milligrams per litre,Austria,2010,26.35
Nitrate in groundwater,Milligrams per litre,Austria,2011,26.24
Nitrate in groundwater,Milligrams per litre,Austria,2012,25.77
Nitrate in groundwater,Milligrams per litre,Austria,2013,24.66
Nitrate in groundwater,Milligrams per litre,Austria,2014,24.5
Nitrate in groundwater,Milligrams per litre,Austria,2015,24.0
Nitrate in groundwater,Milligrams per litre,Austria,2016,23.23
Nitrate in groundwater,Milligrams per litre,Austria,2017,22.89
Nitrate in groundwater,Milligrams per litre,Austria,2018,21.93
Nitrate in groundwater,Milligrams per litre,Austria,2019,21.89
Nitrate in groundwater,Milligrams per litre,Austria,2020,21.0
Nitrate in groundwater,Milligrams per litre,Austria,2021,22.28
Nitrate in groundwater,Milligrams per litre,Austria,2022,21.36
Nitrate in groundwater,Milligrams per litre,Belgium,2000,27.91
Nitrate in groundwater,Milligrams per litre,Belgium,2001,26.79
Nitrate in groundwater,Milligrams per litre,Belgium,2002,26.96
Nitrate in groundwater,Milligrams per litre,Belgium,2003,27.9
Nitrate in groundwater,Milligrams per litre,Belgium,2004,27.65
Nitrate in groundwater,Milligrams per litre,Belgium,2005,30.25
Nitrate in groundwater,Milligrams per litre,Belgium,2006,32.37
Nitrate in groundwater,Milligrams per litre,Belgium,2007,31.36
Nitrate in groundwater,Milligrams per litre,Belgium,2008,32.73
Nitrate in groundwater,Milligrams per litre,Belgium,2009,31.01
Nitrate in groundwater,Milligrams per litre,Belgium,2010,30.19
Nitrate in groundwater,Milligrams per litre,Belgium,2011,29.65
Nitrate in groundwater,Milligrams per litre,Belgium,2012,29.87
Nitrate in groundwater,Milligrams per litre,Belgium,2013,28.5
Nitrate in groundwater,Milligrams per litre,Belgium,2014,28.22
Nitrate in groundwater,Milligrams per litre,Belgium,2015,27.9
Nitrate in groundwater,Milligrams per litre,Belgium,2016,30.34
Nitrate in groundwater,Milligrams per litre,Belgium,2017,29.38
