airpol,nace_r2,na_item,unit,country,year,value
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Switzerland,2019,0.02
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Switzerland,2020,0.02
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Switzerland,2021,0.02
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Switzerland,2022,0.02
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2008,0.95
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2009,0.84
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2010,0.77
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2011,0.72
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2012,0.16
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2013,0.21
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2014,0.26
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2015,0.24
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2016,0.21
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2017,0.22
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2018,0.21
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2019,0.2
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2020,0.22
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2021,0.26
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Cyprus,2022,0.28
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2008,0.18
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2009,0.17
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2010,0.15
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2011,0.11
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2012,0.1
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2013,0.11
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2014,0.1
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2015,0.08
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2016,0.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2017,0.06
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2018,0.06
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Czechia,2019,0.05
