aquaenv,country,year,value
Coastal water excellent - number,Estonia,2021,16.0
Coastal water excellent - number,Estonia,2022,13.0
Coastal water excellent - number,Estonia,2023,14.0
Coastal water excellent - number,Greece,2011,2035.0
Coastal water excellent - number,Greece,2012,2008.0
Coastal water excellent - number,Greece,2013,2014.0
Coastal water excellent - number,Greece,2014,1493.0
Coastal water excellent - number,Greece,2015,1497.0
Coastal water excellent - number,Greece,2016,1495.0
Coastal water excellent - number,Greece,2017,1531.0
Coastal water excellent - number,Greece,2018,1549.0
Coastal water excellent - number,Greece,2019,1562.0
Coastal water excellent - number,Greece,2020,1583.0
Coastal water excellent - number,Greece,2021,1609.0
Coastal water excellent - number,Greece,2022,1621.0
Coastal water excellent - number,Greece,2023,1656.0
Coastal water excellent - number,Spain,2011,1633.0
Coastal water excellent - number,Spain,2012,1672.0
Coastal water excellent - number,Spain,2013,1684.0
Coastal water excellent - number,Spain,2014,1663.0
Coastal water excellent - number,Spain,2015,1696.0
Coastal water excellent - number,Spain,2016,1732.0
Coastal water excellent - number,Spain,2017,1773.0
Coastal water excellent - number,Spain,2018,1812.0
Coastal water excellent - number,Spain,2019,1835.0
Coastal water excellent - number,Spain,2020,1840.0
Coastal water excellent - number,Spain,2021,1828.0
Coastal water excellent - number,Spain,2022,1843.0
Coastal water excellent - number,Spain,2023,1839.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2011,12042.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2012,12248.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2013,12573.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2014,12119.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2015,12311.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2016,12476.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2017,12492.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2018,12675.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2019,12728.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2020,12690.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2021,12731.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2022,12912.0
Coastal water excellent - number,European Union - 27 countries (from 2020),2023,12948.0
Coastal water excellent - number,Finland,2011,59.0
Coastal water excellent - number,Finland,2012,59.0
Coastal water excellent - number,Finland,2013,54.0
Coastal water excellent - number,Finland,2014,51.0
Coastal water excellent - number,Finland,2015,48.0
Coastal water excellent - number,Finland,2016,45.0
Coastal water excellent - number,Finland,2017,53.0
Coastal water excellent - number,Finland,2018,50.0
Coastal water excellent - number,Finland,2019,49.0
Coastal water excellent - number,Finland,2020,56.0
Coastal water excellent - number,Finland,2021,52.0
Coastal water excellent - number,Finland,2022,57.0
Coastal water excellent - number,Finland,2023,51.0
Coastal water excellent - number,France,2011,1307.0
Coastal water excellent - number,France,2012,1329.0
Coastal water excellent - number,France,2013,1516.0
Coastal water excellent - number,France,2014,1558.0
Coastal water excellent - number,France,2015,1602.0
Coastal water excellent - number,France,2016,1616.0
Coastal water excellent - number,France,2017,1631.0
Coastal water excellent - number,France,2018,1632.0
Coastal water excellent - number,France,2019,1675.0
Coastal water excellent - number,France,2020,1632.0
Coastal water excellent - number,France,2021,1604.0
Coastal water excellent - number,France,2022,1609.0
Coastal water excellent - number,France,2023,1584.0
Coastal water excellent - number,Croatia,2011,886.0
Coastal water excellent - number,Croatia,2012,876.0
Coastal water excellent - number,Croatia,2013,877.0
Coastal water excellent - number,Croatia,2014,885.0
Coastal water excellent - number,Croatia,2015,877.0
Coastal water excellent - number,Croatia,2016,889.0
Coastal water excellent - number,Croatia,2017,909.0
Coastal water excellent - number,Croatia,2018,938.0
Coastal water excellent - number,Croatia,2019,938.0
Coastal water excellent - number,Croatia,2020,883.0
Coastal water excellent - number,Croatia,2021,887.0
Coastal water excellent - number,Croatia,2022,884.0
Coastal water excellent - number,Croatia,2023,886.0
Coastal water excellent - number,Hungary,2011,
Coastal water excellent - number,Hungary,2012,
Coastal water excellent - number,Hungary,2013,
Coastal water excellent - number,Hungary,2014,
Coastal water excellent - number,Hungary,2015,
Coastal water excellent - number,Hungary,2016,
Coastal water excellent - number,Hungary,2017,
Coastal water excellent - number,Hungary,2018,
Coastal water excellent - number,Hungary,2019,
Coastal water excellent - number,Hungary,2020,
Coastal water excellent - number,Hungary,2021,
Coastal water excellent - number,Hungary,2022,
Coastal water excellent - number,Hungary,2023,
Coastal water excellent - number,Ireland,2011,106.0
Coastal water excellent - number,Ireland,2012,84.0
Coastal water excellent - number,Ireland,2013,107.0
Coastal water excellent - number,Ireland,2014,95.0
Coastal water excellent - number,Ireland,2015,93.0
Coastal water excellent - number,Ireland,2016,94.0
Coastal water excellent - number,Ireland,2017,94.0
Coastal water excellent - number,Ireland,2018,95.0
Coastal water excellent - number,Ireland,2019,99.0
Coastal water excellent - number,Ireland,2020,103.0
Coastal water excellent - number,Ireland,2021,107.0
Coastal water excellent - number,Ireland,2022,109.0
Coastal water excellent - number,Ireland,2023,106.0
Coastal water excellent - number,Italy,2011,4069.0
Coastal water excellent - number,Italy,2012,4213.0
Coastal water excellent - number,Italy,2013,4309.0
Coastal water excellent - number,Italy,2014,4377.0
Coastal water excellent - number,Italy,2015,4399.0
Coastal water excellent - number,Italy,2016,4414.0
Coastal water excellent - number,Italy,2017,4373.0
Coastal water excellent - number,Italy,2018,4382.0
Coastal water excellent - number,Italy,2019,4290.0
Coastal water excellent - number,Italy,2020,4299.0
Coastal water excellent - number,Italy,2021,4272.0
Coastal water excellent - number,Italy,2022,4358.0
Coastal water excellent - number,Italy,2023,4399.0
Coastal water excellent - number,Lithuania,2011,13.0
Coastal water excellent - number,Lithuania,2012,13.0
Coastal water excellent - number,Lithuania,2013,13.0
Coastal water excellent - number,Lithuania,2014,14.0
Coastal water excellent - number,Lithuania,2015,14.0
Coastal water excellent - number,Lithuania,2016,14.0
Coastal water excellent - number,Lithuania,2017,14.0
Coastal water excellent - number,Lithuania,2018,14.0
Coastal water excellent - number,Lithuania,2019,16.0
Coastal water excellent - number,Lithuania,2020,15.0
Coastal water excellent - number,Lithuania,2021,14.0
Coastal water excellent - number,Lithuania,2022,14.0
Coastal water excellent - number,Lithuania,2023,14.0
Coastal water excellent - number,Luxembourg,2011,
Coastal water excellent - number,Luxembourg,2012,
Coastal water excellent - number,Luxembourg,2013,
Coastal water excellent - number,Luxembourg,2014,
Coastal water excellent - number,Luxembourg,2015,
Coastal water excellent - number,Luxembourg,2016,
Coastal water excellent - number,Luxembourg,2017,
Coastal water excellent - number,Luxembourg,2018,
Coastal water excellent - number,Luxembourg,2019,
Coastal water excellent - number,Luxembourg,2020,
Coastal water excellent - number,Luxembourg,2021,
Coastal water excellent - number,Luxembourg,2022,
Coastal water excellent - number,Luxembourg,2023,
Coastal water excellent - number,Latvia,2011,14.0
Coastal water excellent - number,Latvia,2012,12.0
Coastal water excellent - number,Latvia,2013,17.0
Coastal water excellent - number,Latvia,2014,21.0
Coastal water excellent - number,Latvia,2015,23.0
Coastal water excellent - number,Latvia,2016,28.0
Coastal water excellent - number,Latvia,2017,31.0
Coastal water excellent - number,Latvia,2018,32.0
Coastal water excellent - number,Latvia,2019,28.0
Coastal water excellent - number,Latvia,2020,23.0
Coastal water excellent - number,Latvia,2021,24.0
Coastal water excellent - number,Latvia,2022,27.0
Coastal water excellent - number,Latvia,2023,26.0
Coastal water excellent - number,Montenegro,2011,59.0
Coastal water excellent - number,North Macedonia,2011,
Coastal water excellent - number,North Macedonia,2012,
Coastal water excellent - number,North Macedonia,2013,
Coastal water excellent - number,North Macedonia,2014,
Coastal water excellent - number,North Macedonia,2015,
Coastal water excellent - number,North Macedonia,2016,
Coastal water excellent - number,North Macedonia,2017,
Coastal water excellent - number,North Macedonia,2018,
Coastal water excellent - number,North Macedonia,2019,
Coastal water excellent - number,North Macedonia,2020,
Coastal water excellent - number,North Macedonia,2021,
Coastal water excellent - number,North Macedonia,2022,
Coastal water excellent - number,North Macedonia,2023,
Coastal water excellent - number,Malta,2011,85.0
Coastal water excellent - number,Malta,2012,84.0
Coastal water excellent - number,Malta,2013,86.0
Coastal water excellent - number,Malta,2014,87.0
Coastal water excellent - number,Malta,2015,85.0
Coastal water excellent - number,Malta,2016,86.0
Coastal water excellent - number,Malta,2017,86.0
Coastal water excellent - number,Malta,2018,86.0
Coastal water excellent - number,Malta,2019,85.0
Coastal water excellent - number,Malta,2020,84.0
Coastal water excellent - number,Malta,2021,84.0
Coastal water excellent - number,Malta,2022,82.0
Coastal water excellent - number,Malta,2023,80.0
Coastal water excellent - number,Netherlands,2011,59.0
Coastal water excellent - number,Netherlands,2012,71.0
Coastal water excellent - number,Netherlands,2013,66.0
Coastal water excellent - number,Netherlands,2014,62.0
Coastal water excellent - number,Netherlands,2015,69.0
Coastal water excellent - number,Netherlands,2016,75.0
Coastal water excellent - number,Netherlands,2017,73.0
Coastal water excellent - number,Netherlands,2018,67.0
Coastal water excellent - number,Netherlands,2019,69.0
Coastal water excellent - number,Netherlands,2020,69.0
Coastal water excellent - number,Netherlands,2021,74.0
Coastal water excellent - number,Netherlands,2022,78.0
Coastal water excellent - number,Netherlands,2023,73.0
Coastal water excellent - number,Poland,2011,72.0
Coastal water excellent - number,Poland,2012,65.0
Coastal water excellent - number,Poland,2013,63.0
Coastal water excellent - number,Poland,2014,51.0
