aquaenv,country,year,value
Coastal water excellent - %,France,2015,78.5
Coastal water excellent - %,France,2016,79.1
Coastal water excellent - %,France,2017,79.8
Coastal water excellent - %,France,2018,80.0
Coastal water excellent - %,France,2019,82.0
Coastal water excellent - %,France,2020,79.4
Coastal water excellent - %,France,2021,77.8
Coastal water excellent - %,France,2022,77.6
Coastal water excellent - %,France,2023,76.3
Coastal water excellent - %,Croatia,2011,97.8
Coastal water excellent - %,Croatia,2012,96.1
Coastal water excellent - %,Croatia,2013,95.4
Coastal water excellent - %,Croatia,2014,96.4
Coastal water excellent - %,Croatia,2015,96.6
Coastal water excellent - %,Croatia,2016,96.4
Coastal water excellent - %,Croatia,2017,95.8
Coastal water excellent - %,Croatia,2018,95.6
Coastal water excellent - %,Croatia,2019,98.4
Coastal water excellent - %,Croatia,2020,98.8
Coastal water excellent - %,Croatia,2021,99.2
Coastal water excellent - %,Croatia,2022,98.9
Coastal water excellent - %,Croatia,2023,99.1
Coastal water excellent - %,Hungary,2011,
Coastal water excellent - %,Hungary,2012,
Coastal water excellent - %,Hungary,2013,
Coastal water excellent - %,Hungary,2014,
Coastal water excellent - %,Hungary,2015,
Coastal water excellent - %,Hungary,2016,
Coastal water excellent - %,Hungary,2017,
Coastal water excellent - %,Hungary,2018,
Coastal water excellent - %,Hungary,2019,
Coastal water excellent - %,Hungary,2020,
Coastal water excellent - %,Hungary,2021,
Coastal water excellent - %,Hungary,2022,
Coastal water excellent - %,Hungary,2023,
Coastal water excellent - %,Ireland,2011,84.1
Coastal water excellent - %,Ireland,2012,66.1
Coastal water excellent - %,Ireland,2013,84.9
Coastal water excellent - %,Ireland,2014,74.8
Coastal water excellent - %,Ireland,2015,72.7
Coastal water excellent - %,Ireland,2016,71.8
Coastal water excellent - %,Ireland,2017,70.7
Coastal water excellent - %,Ireland,2018,69.9
Coastal water excellent - %,Ireland,2019,71.7
Coastal water excellent - %,Ireland,2020,74.1
Coastal water excellent - %,Ireland,2021,77.0
Coastal water excellent - %,Ireland,2022,78.4
Coastal water excellent - %,Ireland,2023,76.3
Coastal water excellent - %,Italy,2011,83.0
Coastal water excellent - %,Italy,2012,86.3
Coastal water excellent - %,Italy,2013,88.5
Coastal water excellent - %,Italy,2014,90.0
Coastal water excellent - %,Italy,2015,90.4
Coastal water excellent - %,Italy,2016,90.8
Coastal water excellent - %,Italy,2017,89.9
Coastal water excellent - %,Italy,2018,90.0
Coastal water excellent - %,Italy,2019,88.2
Coastal water excellent - %,Italy,2020,88.7
Coastal water excellent - %,Italy,2021,88.1
Coastal water excellent - %,Italy,2022,89.8
Coastal water excellent - %,Italy,2023,90.6
Coastal water excellent - %,Lithuania,2011,81.3
Coastal water excellent - %,Lithuania,2012,81.3
Coastal water excellent - %,Lithuania,2013,81.3
Coastal water excellent - %,Lithuania,2014,87.5
Coastal water excellent - %,Lithuania,2015,87.5
Coastal water excellent - %,Lithuania,2016,87.5
Coastal water excellent - %,Lithuania,2017,87.5
Coastal water excellent - %,Lithuania,2018,87.5
Coastal water excellent - %,Lithuania,2019,100.0
Coastal water excellent - %,Lithuania,2020,93.8
Coastal water excellent - %,Lithuania,2021,87.5
Coastal water excellent - %,Lithuania,2022,87.5
Coastal water excellent - %,Lithuania,2023,87.5
Coastal water excellent - %,Luxembourg,2011,
Coastal water excellent - %,Luxembourg,2012,
Coastal water excellent - %,Luxembourg,2013,
Coastal water excellent - %,Luxembourg,2014,
Coastal water excellent - %,Luxembourg,2015,
Coastal water excellent - %,Luxembourg,2016,
Coastal water excellent - %,Luxembourg,2017,
Coastal water excellent - %,Luxembourg,2018,
Coastal water excellent - %,Luxembourg,2019,
Coastal water excellent - %,Luxembourg,2020,
Coastal water excellent - %,Luxembourg,2021,
Coastal water excellent - %,Luxembourg,2022,
Coastal water excellent - %,Luxembourg,2023,
Coastal water excellent - %,Latvia,2011,43.8
Coastal water excellent - %,Latvia,2012,37.5
Coastal water excellent - %,Latvia,2013,51.5
Coastal water excellent - %,Latvia,2014,63.6
Coastal water excellent - %,Latvia,2015,69.7
Coastal water excellent - %,Latvia,2016,84.9
Coastal water excellent - %,Latvia,2017,93.9
Coastal water excellent - %,Latvia,2018,97.0
Coastal water excellent - %,Latvia,2019,84.9
Coastal water excellent - %,Latvia,2020,69.7
Coastal water excellent - %,Latvia,2021,75.0
Coastal water excellent - %,Latvia,2022,81.8
Coastal water excellent - %,Latvia,2023,78.8
Coastal water excellent - %,Montenegro,2011,71.1
Coastal water excellent - %,North Macedonia,2011,
Coastal water excellent - %,North Macedonia,2012,
Coastal water excellent - %,North Macedonia,2013,
Coastal water excellent - %,North Macedonia,2014,
Coastal water excellent - %,North Macedonia,2015,
Coastal water excellent - %,North Macedonia,2016,
Coastal water excellent - %,North Macedonia,2017,
Coastal water excellent - %,North Macedonia,2018,
Coastal water excellent - %,North Macedonia,2019,
Coastal water excellent - %,North Macedonia,2020,
Coastal water excellent - %,North Macedonia,2021,
Coastal water excellent - %,North Macedonia,2022,
Coastal water excellent - %,North Macedonia,2023,
Coastal water excellent - %,Malta,2011,97.7
Coastal water excellent - %,Malta,2012,96.6
Coastal water excellent - %,Malta,2013,98.9
Coastal water excellent - %,Malta,2014,100.0
Coastal water excellent - %,Malta,2015,97.7
Coastal water excellent - %,Malta,2016,98.9
Coastal water excellent - %,Malta,2017,98.9
Coastal water excellent - %,Malta,2018,98.9
Coastal water excellent - %,Malta,2019,97.7
Coastal water excellent - %,Malta,2020,96.6
Coastal water excellent - %,Malta,2021,96.6
Coastal water excellent - %,Malta,2022,94.3
Coastal water excellent - %,Malta,2023,92.0
Coastal water excellent - %,Netherlands,2011,67.8
Coastal water excellent - %,Netherlands,2012,78.9
Coastal water excellent - %,Netherlands,2013,74.2
Coastal water excellent - %,Netherlands,2014,68.9
Coastal water excellent - %,Netherlands,2015,75.8
Coastal water excellent - %,Netherlands,2016,82.4
Coastal water excellent - %,Netherlands,2017,80.2
Coastal water excellent - %,Netherlands,2018,73.6
Coastal water excellent - %,Netherlands,2019,76.7
Coastal water excellent - %,Netherlands,2020,75.8
Coastal water excellent - %,Netherlands,2021,82.2
Coastal water excellent - %,Netherlands,2022,85.7
Coastal water excellent - %,Netherlands,2023,80.2
Coastal water excellent - %,Poland,2011,80.9
Coastal water excellent - %,Poland,2012,73.9
Coastal water excellent - %,Poland,2013,75.9
Coastal water excellent - %,Poland,2014,60.0
Coastal water excellent - %,Poland,2015,55.4
Coastal water excellent - %,Poland,2016,56.2
Coastal water excellent - %,Poland,2017,48.5
Coastal water excellent - %,Poland,2018,30.8
Coastal water excellent - %,Poland,2019,29.5
Coastal water excellent - %,Poland,2020,30.7
Coastal water excellent - %,Poland,2021,43.5
Coastal water excellent - %,Poland,2022,50.8
Coastal water excellent - %,Poland,2023,55.1
Coastal water excellent - %,Portugal,2011,88.4
Coastal water excellent - %,Portugal,2012,91.8
Coastal water excellent - %,Portugal,2013,92.2
Coastal water excellent - %,Portugal,2014,87.4
Coastal water excellent - %,Portugal,2015,89.6
Coastal water excellent - %,Portugal,2016,89.0
Coastal water excellent - %,Portugal,2017,90.6
Coastal water excellent - %,Portugal,2018,94.4
Coastal water excellent - %,Portugal,2019,95.6
Coastal water excellent - %,Portugal,2020,93.3
Coastal water excellent - %,Portugal,2021,92.4
Coastal water excellent - %,Portugal,2022,90.8
Coastal water excellent - %,Portugal,2023,91.9
Coastal water excellent - %,Romania,2011,87.8
Coastal water excellent - %,Romania,2012,8.2
Coastal water excellent - %,Romania,2013,34.7
Coastal water excellent - %,Romania,2014,22.5
Coastal water excellent - %,Romania,2015,30.6
Coastal water excellent - %,Romania,2016,69.4
Coastal water excellent - %,Romania,2017,51.0
Coastal water excellent - %,Romania,2018,57.1
Coastal water excellent - %,Romania,2019,77.6
Coastal water excellent - %,Romania,2020,71.4
Coastal water excellent - %,Romania,2021,85.7
Coastal water excellent - %,Romania,2022,91.8
Coastal water excellent - %,Romania,2023,69.4
Coastal water excellent - %,Serbia,2011,
Coastal water excellent - %,Serbia,2012,
Coastal water excellent - %,Serbia,2013,
Coastal water excellent - %,Serbia,2014,
Coastal water excellent - %,Serbia,2015,
Coastal water excellent - %,Serbia,2016,
Coastal water excellent - %,Serbia,2017,
Coastal water excellent - %,Serbia,2018,
Coastal water excellent - %,Serbia,2019,
Coastal water excellent - %,Serbia,2020,
Coastal water excellent - %,Serbia,2021,
Coastal water excellent - %,Serbia,2022,
Coastal water excellent - %,Serbia,2023,
Coastal water excellent - %,Sweden,2011,55.0
Coastal water excellent - %,Sweden,2012,61.7
Coastal water excellent - %,Sweden,2013,53.4
Coastal water excellent - %,Sweden,2014,50.6
Coastal water excellent - %,Sweden,2015,56.9
Coastal water excellent - %,Sweden,2016,69.0
Coastal water excellent - %,Sweden,2017,41.8
Coastal water excellent - %,Sweden,2018,61.9
Coastal water excellent - %,Sweden,2019,72.5
Coastal water excellent - %,Sweden,2020,77.4
Coastal water excellent - %,Sweden,2021,73.2
Coastal water excellent - %,Sweden,2022,70.1
Coastal water excellent - %,Sweden,2023,68.4
Coastal water excellent - %,Slovenia,2011,95.2
Coastal water excellent - %,Slovenia,2012,100.0
Coastal water excellent - %,Slovenia,2013,100.0
Coastal water excellent - %,Slovenia,2014,100.0
Coastal water excellent - %,Slovenia,2015,100.0
Coastal water excellent - %,Slovenia,2016,100.0
Coastal water excellent - %,Slovenia,2017,100.0
Coastal water excellent - %,Slovenia,2018,100.0
Coastal water excellent - %,Slovenia,2019,95.2
Coastal water excellent - %,Slovenia,2020,95.2
Coastal water excellent - %,Slovenia,2021,95.2
Coastal water excellent - %,Slovenia,2022,95.2
Coastal water excellent - %,Slovenia,2023,95.2
Coastal water excellent - %,Slovakia,2011,
Coastal water excellent - %,Slovakia,2012,
Coastal water excellent - %,Slovakia,2013,
Coastal water excellent - %,Slovakia,2014,
Coastal water excellent - %,Slovakia,2015,
Coastal water excellent - %,Slovakia,2016,
Coastal water excellent - %,Slovakia,2017,
Coastal water excellent - %,Slovakia,2018,
Coastal water excellent - %,Slovakia,2019,
Coastal water excellent - %,Slovakia,2020,
Coastal water excellent - %,Slovakia,2021,
Coastal water excellent - %,Slovakia,2022,
Coastal water excellent - %,Slovakia,2023,
Coastal water excellent - %,Kosovo*,2011,
Coastal water excellent - %,Kosovo*,2012,
Coastal water excellent - %,Kosovo*,2013,
Coastal water excellent - %,Kosovo*,2014,
Coastal water excellent - %,Kosovo*,2015,
Coastal water excellent - %,Kosovo*,2016,
Coastal water excellent - %,Kosovo*,2017,
Coastal water excellent - %,Kosovo*,2018,
Coastal water excellent - %,Kosovo*,2019,
Coastal water excellent - %,Kosovo*,2020,
Coastal water excellent - %,Kosovo*,2021,
Coastal water excellent - %,Kosovo*,2022,
Coastal water excellent - %,Kosovo*,2023,
Coastal water - number,Albania,2013,73.0
Coastal water - number,Albania,2014,73.0
Coastal water - number,Albania,2015,78.0
Coastal water - number,Albania,2016,92.0
Coastal water - number,Albania,2017,102.0
Coastal water - number,Albania,2018,102.0
Coastal water - number,Albania,2019,113.0
Coastal water - number,Albania,2020,113.0
Coastal water - number,Albania,2021,113.0
Coastal water - number,Albania,2022,113.0
Coastal water - number,Albania,2023,113.0
Coastal water - number,Austria,2011,
Coastal water - number,Austria,2012,
Coastal water - number,Austria,2013,
Coastal water - number,Austria,2014,
Coastal water - number,Austria,2015,
Coastal water - number,Austria,2016,
Coastal water - number,Austria,2017,
Coastal water - number,Austria,2018,
Coastal water - number,Austria,2019,
Coastal water - number,Austria,2020,
Coastal water - number,Austria,2021,
Coastal water - number,Austria,2022,
Coastal water - number,Austria,2023,
Coastal water - number,Belgium,2011,42.0
Coastal water - number,Belgium,2012,42.0
Coastal water - number,Belgium,2013,42.0
Coastal water - number,Belgium,2014,42.0
Coastal water - number,Belgium,2015,42.0
Coastal water - number,Belgium,2016,42.0
Coastal water - number,Belgium,2017,42.0
Coastal water - number,Belgium,2018,42.0
Coastal water - number,Belgium,2019,42.0
Coastal water - number,Belgium,2020,41.0
Coastal water - number,Belgium,2021,41.0
Coastal water - number,Belgium,2022,41.0
Coastal water - number,Belgium,2023,41.0
Coastal water - number,Bulgaria,2011,89.0
Coastal water - number,Bulgaria,2012,89.0
Coastal water - number,Bulgaria,2013,90.0
Coastal water - number,Bulgaria,2014,90.0
Coastal water - number,Bulgaria,2015,90.0
Coastal water - number,Bulgaria,2016,90.0
Coastal water - number,Bulgaria,2017,91.0
Coastal water - number,Bulgaria,2018,91.0
Coastal water - number,Bulgaria,2019,91.0
Coastal water - number,Bulgaria,2020,92.0
Coastal water - number,Bulgaria,2021,92.0
Coastal water - number,Bulgaria,2022,92.0
Coastal water - number,Bulgaria,2023,92.0
Coastal water - number,Switzerland,2011,
Coastal water - number,Switzerland,2012,
Coastal water - number,Switzerland,2013,
Coastal water - number,Switzerland,2014,
Coastal water - number,Switzerland,2015,
Coastal water - number,Switzerland,2016,
Coastal water - number,Switzerland,2017,
Coastal water - number,Switzerland,2018,
Coastal water - number,Switzerland,2019,
Coastal water - number,Switzerland,2020,
Coastal water - number,Switzerland,2021,
Coastal water - number,Switzerland,2022,
Coastal water - number,Switzerland,2023,
Coastal water - number,Cyprus,2011,112.0
Coastal water - number,Cyprus,2012,112.0
Coastal water - number,Cyprus,2013,112.0
Coastal water - number,Cyprus,2014,112.0
Coastal water - number,Cyprus,2015,113.0
Coastal water - number,Cyprus,2016,113.0
Coastal water - number,Cyprus,2017,113.0
Coastal water - number,Cyprus,2018,113.0
Coastal water - number,Cyprus,2019,113.0
Coastal water - number,Cyprus,2020,112.0
Coastal water - number,Cyprus,2021,120.0
Coastal water - number,Cyprus,2022,120.0
Coastal water - number,Cyprus,2023,123.0
Coastal water - number,Czechia,2011,
Coastal water - number,Czechia,2012,
Coastal water - number,Czechia,2013,
Coastal water - number,Czechia,2014,
Coastal water - number,Czechia,2015,
Coastal water - number,Czechia,2016,
Coastal water - number,Czechia,2017,
Coastal water - number,Czechia,2018,
Coastal water - number,Czechia,2019,
Coastal water - number,Czechia,2020,
Coastal water - number,Czechia,2021,
Coastal water - number,Czechia,2022,
Coastal water - number,Czechia,2023,
Coastal water - number,Germany,2011,372.0
Coastal water - number,Germany,2012,366.0
Coastal water - number,Germany,2013,367.0
Coastal water - number,Germany,2014,363.0
Coastal water - number,Germany,2015,367.0
Coastal water - number,Germany,2016,367.0
Coastal water - number,Germany,2017,366.0
Coastal water - number,Germany,2018,366.0
Coastal water - number,Germany,2019,367.0
Coastal water - number,Germany,2020,363.0
Coastal water - number,Germany,2021,363.0
Coastal water - number,Germany,2022,362.0
Coastal water - number,Germany,2023,362.0
Coastal water - number,Denmark,2011,1011.0
Coastal water - number,Denmark,2012,973.0
Coastal water - number,Denmark,2013,923.0
Coastal water - number,Denmark,2014,917.0
Coastal water - number,Denmark,2015,918.0
Coastal water - number,Denmark,2016,921.0
Coastal water - number,Denmark,2017,915.0
Coastal water - number,Denmark,2018,910.0
Coastal water - number,Denmark,2019,905.0
Coastal water - number,Denmark,2020,906.0
Coastal water - number,Denmark,2021,908.0
Coastal water - number,Denmark,2022,917.0
Coastal water - number,Denmark,2023,920.0
Coastal water - number,Estonia,2011,27.0
Coastal water - number,Estonia,2012,27.0
Coastal water - number,Estonia,2013,26.0
Coastal water - number,Estonia,2014,27.0
Coastal water - number,Estonia,2015,27.0
Coastal water - number,Estonia,2016,27.0
Coastal water - number,Estonia,2017,27.0
Coastal water - number,Estonia,2018,27.0
Coastal water - number,Estonia,2019,27.0
Coastal water - number,Estonia,2020,29.0
Coastal water - number,Estonia,2021,30.0
Coastal water - number,Estonia,2022,30.0
Coastal water - number,Estonia,2023,30.0
Coastal water - number,Greece,2011,2149.0
Coastal water - number,Greece,2012,2149.0
Coastal water - number,Greece,2013,2156.0
Coastal water - number,Greece,2014,1538.0
Coastal water - number,Greece,2015,1540.0
Coastal water - number,Greece,2016,1540.0
Coastal water - number,Greece,2017,1595.0
Coastal water - number,Greece,2018,1595.0
Coastal water - number,Greece,2019,1631.0
Coastal water - number,Greece,2020,1631.0
Coastal water - number,Greece,2021,1680.0
Coastal water - number,Greece,2022,1679.0
Coastal water - number,Greece,2023,1728.0
Coastal water - number,Spain,2011,1927.0
Coastal water - number,Spain,2012,1926.0
Coastal water - number,Spain,2013,1931.0
Coastal water - number,Spain,2014,1942.0
Coastal water - number,Spain,2015,1948.0
Coastal water - number,Spain,2016,1949.0
Coastal water - number,Spain,2017,1960.0
Coastal water - number,Spain,2018,1965.0
Coastal water - number,Spain,2019,1968.0
Coastal water - number,Spain,2020,1969.0
Coastal water - number,Spain,2021,1984.0
Coastal water - number,Spain,2022,1987.0
Coastal water - number,Spain,2023,1994.0
Coastal water - number,European Union - 27 countries (from 2020),2011,14807.0
Coastal water - number,European Union - 27 countries (from 2020),2012,14761.0
Coastal water - number,European Union - 27 countries (from 2020),2013,14718.0
Coastal water - number,European Union - 27 countries (from 2020),2014,14115.0
Coastal water - number,European Union - 27 countries (from 2020),2015,14150.0
Coastal water - number,European Union - 27 countries (from 2020),2016,14181.0
Coastal water - number,European Union - 27 countries (from 2020),2017,14293.0
Coastal water - number,European Union - 27 countries (from 2020),2018,14381.0
Coastal water - number,European Union - 27 countries (from 2020),2019,14404.0
Coastal water - number,European Union - 27 countries (from 2020),2020,14361.0
Coastal water - number,European Union - 27 countries (from 2020),2021,14471.0
Coastal water - number,European Union - 27 countries (from 2020),2022,14519.0
Coastal water - number,European Union - 27 countries (from 2020),2023,14585.0
Coastal water - number,Finland,2011,84.0
Coastal water - number,Finland,2012,84.0
Coastal water - number,Finland,2013,82.0
Coastal water - number,Finland,2014,81.0
Coastal water - number,Finland,2015,77.0
Coastal water - number,Finland,2016,77.0
Coastal water - number,Finland,2017,77.0
Coastal water - number,Finland,2018,76.0
Coastal water - number,Finland,2019,77.0
Coastal water - number,Finland,2020,78.0
Coastal water - number,Finland,2021,78.0
Coastal water - number,Finland,2022,78.0
Coastal water - number,Finland,2023,78.0
Coastal water - number,France,2011,2000.0
Coastal water - number,France,2012,2006.0
Coastal water - number,France,2013,2006.0
Coastal water - number,France,2014,2016.0
Coastal water - number,France,2015,2040.0
Coastal water - number,France,2016,2043.0
Coastal water - number,France,2017,2043.0
Coastal water - number,France,2018,2041.0
Coastal water - number,France,2019,2044.0
Coastal water - number,France,2020,2055.0
Coastal water - number,France,2021,2061.0
Coastal water - number,France,2022,2074.0
Coastal water - number,France,2023,2075.0
Coastal water - number,Croatia,2011,906.0
Coastal water - number,Croatia,2012,912.0
Coastal water - number,Croatia,2013,919.0
Coastal water - number,Croatia,2014,918.0
Coastal water - number,Croatia,2015,908.0
Coastal water - number,Croatia,2016,922.0
Coastal water - number,Croatia,2017,949.0
Coastal water - number,Croatia,2018,981.0
Coastal water - number,Croatia,2019,953.0
Coastal water - number,Croatia,2020,894.0
Coastal water - number,Croatia,2021,894.0
Coastal water - number,Croatia,2022,894.0
Coastal water - number,Croatia,2023,894.0
Coastal water - number,Hungary,2011,
Coastal water - number,Hungary,2012,
Coastal water - number,Hungary,2013,
Coastal water - number,Hungary,2014,
Coastal water - number,Hungary,2015,
Coastal water - number,Hungary,2016,
Coastal water - number,Hungary,2017,
Coastal water - number,Hungary,2018,
Coastal water - number,Hungary,2019,
Coastal water - number,Hungary,2020,
Coastal water - number,Hungary,2021,
Coastal water - number,Hungary,2022,
Coastal water - number,Hungary,2023,
Coastal water - number,Ireland,2011,126.0
Coastal water - number,Ireland,2012,127.0
Coastal water - number,Ireland,2013,126.0
Coastal water - number,Ireland,2014,127.0
Coastal water - number,Ireland,2015,128.0
Coastal water - number,Ireland,2016,131.0
Coastal water - number,Ireland,2017,133.0
Coastal water - number,Ireland,2018,136.0
Coastal water - number,Ireland,2019,138.0
Coastal water - number,Ireland,2020,139.0
Coastal water - number,Ireland,2021,139.0
Coastal water - number,Ireland,2022,139.0
Coastal water - number,Ireland,2023,139.0
Coastal water - number,Italy,2011,4901.0
Coastal water - number,Italy,2012,4880.0
Coastal water - number,Italy,2013,4867.0
Coastal water - number,Italy,2014,4864.0
Coastal water - number,Italy,2015,4866.0
Coastal water - number,Italy,2016,4864.0
Coastal water - number,Italy,2017,4864.0
Coastal water - number,Italy,2018,4871.0
Coastal water - number,Italy,2019,4864.0
Coastal water - number,Italy,2020,4848.0
Coastal water - number,Italy,2021,4850.0
Coastal water - number,Italy,2022,4854.0
Coastal water - number,Italy,2023,4853.0
Coastal water - number,Lithuania,2011,16.0
Coastal water - number,Lithuania,2012,16.0
Coastal water - number,Lithuania,2013,16.0
Coastal water - number,Lithuania,2014,16.0
Coastal water - number,Lithuania,2015,16.0
Coastal water - number,Lithuania,2016,16.0
Coastal water - number,Lithuania,2017,16.0
Coastal water - number,Lithuania,2018,16.0
Coastal water - number,Lithuania,2019,16.0
Coastal water - number,Lithuania,2020,16.0
Coastal water - number,Lithuania,2021,16.0
Coastal water - number,Lithuania,2022,16.0
Coastal water - number,Lithuania,2023,16.0
Coastal water - number,Luxembourg,2011,
Coastal water - number,Luxembourg,2012,
Coastal water - number,Luxembourg,2013,
Coastal water - number,Luxembourg,2014,
Coastal water - number,Luxembourg,2015,
Coastal water - number,Luxembourg,2016,
Coastal water - number,Luxembourg,2017,
Coastal water - number,Luxembourg,2018,
Coastal water - number,Luxembourg,2019,
Coastal water - number,Luxembourg,2020,
Coastal water - number,Luxembourg,2021,
Coastal water - number,Luxembourg,2022,
Coastal water - number,Luxembourg,2023,
Coastal water - number,Latvia,2011,32.0
Coastal water - number,Latvia,2012,32.0
Coastal water - number,Latvia,2013,33.0
Coastal water - number,Latvia,2014,33.0
Coastal water - number,Latvia,2015,33.0
Coastal water - number,Latvia,2016,33.0
Coastal water - number,Latvia,2017,33.0
Coastal water - number,Latvia,2018,33.0
Coastal water - number,Latvia,2019,33.0
Coastal water - number,Latvia,2020,33.0
Coastal water - number,Latvia,2021,32.0
Coastal water - number,Latvia,2022,33.0
Coastal water - number,Latvia,2023,33.0
Coastal water - number,Montenegro,2011,83.0
Coastal water - number,North Macedonia,2011,
Coastal water - number,North Macedonia,2012,
Coastal water - number,North Macedonia,2013,
Coastal water - number,North Macedonia,2014,
Coastal water - number,North Macedonia,2015,
Coastal water - number,North Macedonia,2016,
Coastal water - number,North Macedonia,2017,
Coastal water - number,North Macedonia,2018,
Coastal water - number,North Macedonia,2019,
Coastal water - number,North Macedonia,2020,
Coastal water - number,North Macedonia,2021,
Coastal water - number,North Macedonia,2022,
Coastal water - number,North Macedonia,2023,
Coastal water - number,Malta,2011,87.0
Coastal water - number,Malta,2012,87.0
Coastal water - number,Malta,2013,87.0
Coastal water - number,Malta,2014,87.0
Coastal water - number,Malta,2015,87.0
Coastal water - number,Malta,2016,87.0
Coastal water - number,Malta,2017,87.0
Coastal water - number,Malta,2018,87.0
Coastal water - number,Malta,2019,87.0
Coastal water - number,Malta,2020,87.0
Coastal water - number,Malta,2021,87.0
Coastal water - number,Malta,2022,87.0
Coastal water - number,Malta,2023,87.0
Coastal water - number,Netherlands,2011,87.0
Coastal water - number,Netherlands,2012,90.0
Coastal water - number,Netherlands,2013,89.0
Coastal water - number,Netherlands,2014,90.0
Coastal water - number,Netherlands,2015,91.0
Coastal water - number,Netherlands,2016,91.0
Coastal water - number,Netherlands,2017,91.0
Coastal water - number,Netherlands,2018,91.0
Coastal water - number,Netherlands,2019,90.0
Coastal water - number,Netherlands,2020,91.0
Coastal water - number,Netherlands,2021,90.0
Coastal water - number,Netherlands,2022,91.0
Coastal water - number,Netherlands,2023,91.0
Coastal water - number,Poland,2011,89.0
Coastal water - number,Poland,2012,88.0
Coastal water - number,Poland,2013,83.0
Coastal water - number,Poland,2014,85.0
Coastal water - number,Poland,2015,83.0
Coastal water - number,Poland,2016,89.0
Coastal water - number,Poland,2017,97.0
Coastal water - number,Poland,2018,146.0
Coastal water - number,Poland,2019,163.0
Coastal water - number,Poland,2020,166.0
Coastal water - number,Poland,2021,177.0
Coastal water - number,Poland,2022,185.0
Coastal water - number,Poland,2023,187.0
Coastal water - number,Portugal,2011,431.0
Coastal water - number,Portugal,2012,437.0
Coastal water - number,Portugal,2013,446.0
Coastal water - number,Portugal,2014,452.0
Coastal water - number,Portugal,2015,460.0
Coastal water - number,Portugal,2016,464.0
Coastal water - number,Portugal,2017,480.0
Coastal water - number,Portugal,2018,480.0
Coastal water - number,Portugal,2019,481.0
Coastal water - number,Portugal,2020,493.0
Coastal water - number,Portugal,2021,502.0
Coastal water - number,Portugal,2022,509.0
Coastal water - number,Portugal,2023,509.0
Coastal water - number,Romania,2011,49.0
Coastal water - number,Romania,2012,49.0
Coastal water - number,Romania,2013,49.0
Coastal water - number,Romania,2014,49.0
Coastal water - number,Romania,2015,49.0
Coastal water - number,Romania,2016,49.0
Coastal water - number,Romania,2017,49.0
Coastal water - number,Romania,2018,49.0
Coastal water - number,Romania,2019,49.0
Coastal water - number,Romania,2020,49.0
Coastal water - number,Romania,2021,49.0
Coastal water - number,Romania,2022,49.0
Coastal water - number,Romania,2023,49.0
Coastal water - number,Serbia,2011,
Coastal water - number,Serbia,2012,
Coastal water - number,Serbia,2013,
Coastal water - number,Serbia,2014,
Coastal water - number,Serbia,2015,
Coastal water - number,Serbia,2016,
Coastal water - number,Serbia,2017,
Coastal water - number,Serbia,2018,
Coastal water - number,Serbia,2019,
Coastal water - number,Serbia,2020,
Coastal water - number,Serbia,2021,
Coastal water - number,Serbia,2022,
Coastal water - number,Serbia,2023,
Coastal water - number,Sweden,2011,249.0
Coastal water - number,Sweden,2012,248.0
Coastal water - number,Sweden,2013,247.0
Coastal water - number,Sweden,2014,245.0
Coastal water - number,Sweden,2015,246.0
Coastal water - number,Sweden,2016,245.0
Coastal water - number,Sweden,2017,244.0
Coastal water - number,Sweden,2018,244.0
Coastal water - number,Sweden,2019,244.0
Coastal water - number,Sweden,2020,248.0
Coastal water - number,Sweden,2021,257.0
Coastal water - number,Sweden,2022,261.0
Coastal water - number,Sweden,2023,263.0
Coastal water - number,Slovenia,2011,21.0
Coastal water - number,Slovenia,2012,21.0
Coastal water - number,Slovenia,2013,21.0
Coastal water - number,Slovenia,2014,21.0
Coastal water - number,Slovenia,2015,21.0
Coastal water - number,Slovenia,2016,21.0
Coastal water - number,Slovenia,2017,21.0
Coastal water - number,Slovenia,2018,21.0
Coastal water - number,Slovenia,2019,21.0
Coastal water - number,Slovenia,2020,21.0
Coastal water - number,Slovenia,2021,21.0
Coastal water - number,Slovenia,2022,21.0
Coastal water - number,Slovenia,2023,21.0
Coastal water - number,Slovakia,2011,
Coastal water - number,Slovakia,2012,
Coastal water - number,Slovakia,2013,
Coastal water - number,Slovakia,2014,
Coastal water - number,Slovakia,2015,
Coastal water - number,Slovakia,2016,
Coastal water - number,Slovakia,2017,
Coastal water - number,Slovakia,2018,
Coastal water - number,Slovakia,2019,
Coastal water - number,Slovakia,2020,
Coastal water - number,Slovakia,2021,
Coastal water - number,Slovakia,2022,
Coastal water - number,Slovakia,2023,
Coastal water - number,Kosovo*,2011,
Coastal water - number,Kosovo*,2012,
Coastal water - number,Kosovo*,2013,
Coastal water - number,Kosovo*,2014,
Coastal water - number,Kosovo*,2015,
Coastal water - number,Kosovo*,2016,
Coastal water - number,Kosovo*,2017,
Coastal water - number,Kosovo*,2018,
Coastal water - number,Kosovo*,2019,
Coastal water - number,Kosovo*,2020,
Coastal water - number,Kosovo*,2021,
Coastal water - number,Kosovo*,2022,
Coastal water - number,Kosovo*,2023,
Inland water excellent - number,Albania,2018,0.0
Inland water excellent - number,Albania,2019,3.0
Inland water excellent - number,Albania,2020,3.0
Inland water excellent - number,Albania,2021,1.0
Inland water excellent - number,Albania,2022,1.0
Inland water excellent - number,Albania,2023,2.0
