indicator,country,unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Primary_energy_consumption,France,Million tonnes of oil equivalent,260.9,256.1,252.7,255.5,246.4,254.5,249.1,249.1,250.5,239.9,244.5,240.1,239.3,238.9,235.5,208.0,224.8,205.9,209.6
Primary_energy_consumption,Germany,Million tonnes of oil equivalent,321.6,332.8,315.8,320.8,299.9,315.2,297.8,301.1,308.3,293.6,295.9,297.6,298.1,292.0,285.2,262.2,271.5,261.1,238.9
Primary_energy_consumption,Greece,Million tonnes of oil equivalent,30.3,30.3,30.3,30.5,29.4,27.2,26.7,26.5,23.4,23.3,23.4,23.1,23.2,22.6,22.3,19.2,20.3,20.9,19.9
Primary_energy_consumption,Hungary,Million tonnes of oil equivalent,26.3,26.0,25.4,25.2,24.0,24.6,24.4,23.1,22.4,22.0,23.3,23.7,24.5,24.5,24.6,23.9,24.9,23.9,22.1
Primary_energy_consumption,Ireland,Million tonnes of oil equivalent,15.0,15.1,16.0,15.7,14.9,14.7,13.6,13.7,13.0,13.2,13.9,14.7,14.6,14.6,14.7,13.5,13.8,14.3,14.1
Primary_energy_consumption,Italy,Million tonnes of oil equivalent,180.8,179.0,178.7,176.1,164.1,167.3,162.0,156.6,152.1,142.7,149.1,148.0,149.0,147.3,145.9,132.4,145.6,139.7,134.8
Primary_energy_consumption,Latvia,Million tonnes of oil equivalent,4.5,4.7,4.8,4.6,4.4,4.6,4.3,4.4,4.4,4.4,4.3,4.3,4.5,4.7,4.6,4.3,4.5,4.3,4.3
Primary_energy_consumption,Lithuania,Million tonnes of oil equivalent,8.1,7.9,8.1,8.3,7.9,6.2,5.9,6.0,5.8,5.8,5.8,6.0,6.2,6.4,6.3,6.2,6.6,6.3,6.3
Primary_energy_consumption,Luxembourg,Million tonnes of oil equivalent,4.8,4.7,4.6,4.6,4.3,4.6,4.5,4.4,4.3,4.2,4.1,4.2,4.3,4.5,4.5,3.9,4.2,3.8,3.7
Primary_energy_consumption,Malta,Million tonnes of oil equivalent,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.7,0.8,0.8,0.9,0.7,0.8,0.9,0.9
Primary_energy_consumption,Netherlands,Million tonnes of oil equivalent,70.1,69.5,69.4,69.9,67.6,71.7,67.1,66.8,66.2,62.3,64.1,65.1,65.4,64.8,63.7,58.4,60.8,56.2,53.8
Primary_energy_consumption,Poland,Million tonnes of oil equivalent,88.0,92.3,91.9,93.1,89.5,96.6,96.6,92.8,93.4,89.5,90.1,94.8,99.1,104.1,100.2,96.8,104.0,98.6,93.6
Primary_energy_consumption,Portugal,Million tonnes of oil equivalent,24.9,24.0,23.9,23.6,23.6,22.7,22.0,21.0,21.0,20.7,21.7,21.8,22.8,22.7,22.1,19.5,19.5,20.8,20.7
Primary_energy_consumption,Romania,Million tonnes of oil equivalent,36.1,37.5,37.4,37.3,32.7,33.0,33.5,33.3,30.4,30.1,30.8,30.7,32.5,32.6,32.1,30.9,33.1,31.0,30.0
Primary_energy_consumption,Slovakia,Million tonnes of oil equivalent,17.4,17.2,16.4,17.0,15.5,17.4,16.6,16.3,16.4,15.2,15.8,16.0,16.8,16.3,16.0,15.2,16.4,15.4,15.5
Primary_energy_consumption,Slovenia,Million tonnes of oil equivalent,7.3,7.2,7.3,7.7,6.8,7.0,7.1,6.8,6.7,6.4,6.4,6.6,6.7,6.7,6.5,6.2,6.3,6.2,5.9
Primary_energy_consumption,Spain,Million tonnes of oil equivalent,136.0,136.6,138.8,133.9,123.0,123.0,122.7,123.0,115.7,113.8,118.2,118.4,124.9,124.3,120.6,105.0,111.4,113.5,110.1
Primary_energy_consumption,Sweden,Million tonnes of oil equivalent,49.0,47.7,47.4,47.3,43.1,48.3,47.5,47.4,46.4,45.9,43.8,45.3,46.3,47.2,45.8,41.3,43.3,42.6,41.4
