unit,country,year,value
Milligrams per litre,Czechia,2016,2.67
Milligrams per litre,Czechia,2017,2.74
Milligrams per litre,Czechia,2018,2.74
Milligrams per litre,Czechia,2019,2.49
Milligrams per litre,Czechia,2020,2.58
Milligrams per litre,Czechia,2021,2.64
Milligrams per litre,Czechia,2022,2.64
Milligrams per litre,Estonia,2000,1.58
Milligrams per litre,Estonia,2001,1.64
Milligrams per litre,Estonia,2002,1.61
Milligrams per litre,Estonia,2003,1.61
Milligrams per litre,Estonia,2004,1.57
Milligrams per litre,Estonia,2005,1.58
Milligrams per litre,Estonia,2006,1.81
Milligrams per litre,Estonia,2007,1.63
Milligrams per litre,Estonia,2008,1.68
Milligrams per litre,Estonia,2009,1.7
Milligrams per litre,Estonia,2010,1.56
Milligrams per litre,Estonia,2011,1.74
Milligrams per litre,Estonia,2012,1.47
Milligrams per litre,Estonia,2013,1.63
Milligrams per litre,Estonia,2014,1.73
Milligrams per litre,Estonia,2015,1.73
Milligrams per litre,Estonia,2016,1.81
Milligrams per litre,Estonia,2017,1.75
Milligrams per litre,Estonia,2018,1.53
Milligrams per litre,Estonia,2019,1.56
Milligrams per litre,Estonia,2020,1.6
Milligrams per litre,Estonia,2021,1.64
Milligrams per litre,Estonia,2022,1.68
Milligrams per litre,Spain,2000,2.8
Milligrams per litre,Spain,2001,2.21
Milligrams per litre,Spain,2002,3.5
Milligrams per litre,Spain,2003,2.23
Milligrams per litre,Spain,2004,2.37
Milligrams per litre,Spain,2005,2.24
Milligrams per litre,Spain,2006,2.57
Milligrams per litre,Spain,2007,2.4
Milligrams per litre,Spain,2008,2.23
Milligrams per litre,Spain,2009,1.86
Milligrams per litre,Spain,2010,1.7
Milligrams per litre,Spain,2011,1.61
Milligrams per litre,Spain,2012,2.29
Milligrams per litre,Spain,2013,3.3
Milligrams per litre,Spain,2014,3.33
Milligrams per litre,Spain,2015,4.67
Milligrams per litre,Spain,2016,4.52
Milligrams per litre,Spain,2017,3.94
Milligrams per litre,Spain,2018,3.55
Milligrams per litre,Spain,2019,3.55
Milligrams per litre,Spain,2020,3.59
Milligrams per litre,Spain,2021,3.73
Milligrams per litre,Spain,2022,3.81
Milligrams per litre,European Union (aggregate changing according to the context),2000,3.48
Milligrams per litre,European Union (aggregate changing according to the context),2001,3.3
Milligrams per litre,European Union (aggregate changing according to the context),2002,3.57
Milligrams per litre,European Union (aggregate changing according to the context),2003,3.29
Milligrams per litre,European Union (aggregate changing according to the context),2004,3.11
Milligrams per litre,European Union (aggregate changing according to the context),2005,3.11
Milligrams per litre,European Union (aggregate changing according to the context),2006,3.1
Milligrams per litre,European Union (aggregate changing according to the context),2007,3.03
Milligrams per litre,European Union (aggregate changing according to the context),2008,2.85
Milligrams per litre,European Union (aggregate changing according to the context),2009,2.79
Milligrams per litre,European Union (aggregate changing according to the context),2010,2.65
Milligrams per litre,European Union (aggregate changing according to the context),2011,2.59
Milligrams per litre,European Union (aggregate changing according to the context),2012,2.77
Milligrams per litre,European Union (aggregate changing according to the context),2013,2.92
Milligrams per litre,European Union (aggregate changing according to the context),2014,2.87
Milligrams per litre,European Union (aggregate changing according to the context),2015,3.21
Milligrams per litre,European Union (aggregate changing according to the context),2016,3.06
Milligrams per litre,European Union (aggregate changing according to the context),2017,2.91
Milligrams per litre,European Union (aggregate changing according to the context),2018,2.71
Milligrams per litre,European Union (aggregate changing according to the context),2019,2.67
Milligrams per litre,European Union (aggregate changing according to the context),2020,2.76
Milligrams per litre,European Union (aggregate changing according to the context),2021,2.77
Milligrams per litre,European Union (aggregate changing according to the context),2022,2.73
Milligrams per litre,Finland,2000,2.49
Milligrams per litre,Finland,2001,2.56
Milligrams per litre,Finland,2002,2.96
Milligrams per litre,Finland,2003,2.9
Milligrams per litre,Finland,2004,2.36
Milligrams per litre,Finland,2005,3.02
Milligrams per litre,Finland,2006,2.22
Milligrams per litre,Finland,2007,1.98
Milligrams per litre,Finland,2008,2.13
Milligrams per litre,Finland,2009,1.88
Milligrams per litre,Finland,2010,2.07
Milligrams per litre,Finland,2011,2.6
Milligrams per litre,Finland,2012,2.66
Milligrams per litre,Finland,2013,1.98
Milligrams per litre,Finland,2014,1.52
Milligrams per litre,Finland,2015,1.91
Milligrams per litre,Finland,2016,2.06
Milligrams per litre,Finland,2017,2.2
Milligrams per litre,Finland,2018,1.72
Milligrams per litre,Finland,2019,1.37
Milligrams per litre,Finland,2020,1.72
Milligrams per litre,Finland,2021,1.57
Milligrams per litre,Finland,2022,1.57
Milligrams per litre,Croatia,2000,2.7
Milligrams per litre,Croatia,2001,2.7
Milligrams per litre,Croatia,2002,2.7
Milligrams per litre,Croatia,2003,2.7
Milligrams per litre,Croatia,2004,2.23
Milligrams per litre,Croatia,2005,1.98
Milligrams per litre,Croatia,2006,1.76
Milligrams per litre,Croatia,2007,1.32
Milligrams per litre,Croatia,2008,1.52
Milligrams per litre,Croatia,2009,1.41
Milligrams per litre,Croatia,2010,1.54
Milligrams per litre,Croatia,2011,1.51
Milligrams per litre,Croatia,2012,1.76
Milligrams per litre,Croatia,2013,2.05
Milligrams per litre,Croatia,2014,1.72
Milligrams per litre,Croatia,2015,1.54
Milligrams per litre,Croatia,2016,1.22
Milligrams per litre,Croatia,2017,1.35
Milligrams per litre,Croatia,2018,1.49
Milligrams per litre,Croatia,2019,1.26
Milligrams per litre,Croatia,2020,1.47
Milligrams per litre,Croatia,2021,1.69
Milligrams per litre,Croatia,2022,1.35
Milligrams per litre,Ireland,2000,1.61
Milligrams per litre,Ireland,2001,1.44
Milligrams per litre,Ireland,2002,1.24
Milligrams per litre,Ireland,2003,1.33
Milligrams per litre,Ireland,2004,1.41
Milligrams per litre,Ireland,2005,1.31
Milligrams per litre,Ireland,2006,1.33
Milligrams per litre,Ireland,2007,1.34
Milligrams per litre,Ireland,2008,1.08
Milligrams per litre,Ireland,2009,1.24
Milligrams per litre,Ireland,2010,1.35
Milligrams per litre,Ireland,2011,1.49
Milligrams per litre,Ireland,2012,1.47
Milligrams per litre,Ireland,2013,1.39
Milligrams per litre,Ireland,2014,1.14
Milligrams per litre,Ireland,2015,1.16
Milligrams per litre,Ireland,2016,1.03
Milligrams per litre,Ireland,2017,1.07
Milligrams per litre,Ireland,2018,1.09
Milligrams per litre,Ireland,2019,1.14
Milligrams per litre,Ireland,2020,1.26
Milligrams per litre,Ireland,2021,1.11
Milligrams per litre,Ireland,2022,1.16
Milligrams per litre,Italy,2000,2.64
Milligrams per litre,Italy,2001,2.54
Milligrams per litre,Italy,2002,2.54
Milligrams per litre,Italy,2003,2.64
Milligrams per litre,Italy,2004,2.29
Milligrams per litre,Italy,2005,2.17
Milligrams per litre,Italy,2006,2.09
Milligrams per litre,Italy,2007,2.03
Milligrams per litre,Italy,2008,2.0
Milligrams per litre,Italy,2009,1.99
Milligrams per litre,Italy,2010,2.07
Milligrams per litre,Italy,2011,1.9
Milligrams per litre,Italy,2012,2.16
Milligrams per litre,Italy,2013,2.33
Milligrams per litre,Italy,2014,2.5
Milligrams per litre,Italy,2015,2.67
Milligrams per litre,Italy,2016,2.03
Milligrams per litre,Italy,2017,1.65
Milligrams per litre,Italy,2018,1.58
Milligrams per litre,Italy,2019,1.61
Milligrams per litre,Italy,2020,1.52
Milligrams per litre,Italy,2021,1.54
Milligrams per litre,Italy,2022,1.73
Milligrams per litre,Lithuania,2000,2.76
Milligrams per litre,Lithuania,2001,2.91
Milligrams per litre,Lithuania,2002,2.67
Milligrams per litre,Lithuania,2003,2.82
Milligrams per litre,Lithuania,2004,2.55
Milligrams per litre,Lithuania,2005,2.82
Milligrams per litre,Lithuania,2006,2.9
Milligrams per litre,Lithuania,2007,2.43
Milligrams per litre,Lithuania,2008,2.51
Milligrams per litre,Lithuania,2009,2.57
Milligrams per litre,Lithuania,2010,2.6
Milligrams per litre,Lithuania,2011,2.23
Milligrams per litre,Lithuania,2012,2.16
Milligrams per litre,Lithuania,2013,2.21
Milligrams per litre,Lithuania,2014,2.23
Milligrams per litre,Lithuania,2015,2.05
Milligrams per litre,Lithuania,2016,2.12
Milligrams per litre,Lithuania,2017,2.17
Milligrams per litre,Lithuania,2018,2.4
Milligrams per litre,Lithuania,2019,2.26
Milligrams per litre,Lithuania,2020,2.13
Milligrams per litre,Lithuania,2021,1.98
Milligrams per litre,Lithuania,2022,2.0
Milligrams per litre,Latvia,2000,1.8
Milligrams per litre,Latvia,2001,1.74
Milligrams per litre,Latvia,2002,1.91
Milligrams per litre,Latvia,2003,2.04
Milligrams per litre,Latvia,2004,1.78
Milligrams per litre,Latvia,2005,1.52
Milligrams per litre,Latvia,2006,1.44
Milligrams per litre,Latvia,2007,1.47
Milligrams per litre,Latvia,2008,1.46
Milligrams per litre,Latvia,2009,1.44
Milligrams per litre,Latvia,2010,1.53
Milligrams per litre,Latvia,2011,1.47
Milligrams per litre,Latvia,2012,1.32
