watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Czechia,2009,0.092
Phosphate in rivers,Milligrams per litre,Czechia,2010,0.077
Phosphate in rivers,Milligrams per litre,Czechia,2011,0.125
Phosphate in rivers,Milligrams per litre,Czechia,2012,0.14
Phosphate in rivers,Milligrams per litre,Czechia,2013,0.119
Phosphate in rivers,Milligrams per litre,Czechia,2014,0.144
Phosphate in rivers,Milligrams per litre,Czechia,2015,0.147
Phosphate in rivers,Milligrams per litre,Czechia,2016,0.146
Phosphate in rivers,Milligrams per litre,Czechia,2017,0.144
Phosphate in rivers,Milligrams per litre,Czechia,2018,0.156
Phosphate in rivers,Milligrams per litre,Czechia,2019,0.125
Phosphate in rivers,Milligrams per litre,Czechia,2020,0.088
Phosphate in rivers,Milligrams per litre,Czechia,2021,0.096
Phosphate in rivers,Milligrams per litre,Czechia,2022,0.096
Phosphate in rivers,Milligrams per litre,Denmark,2000,0.057
Phosphate in rivers,Milligrams per litre,Denmark,2001,0.055
Phosphate in rivers,Milligrams per litre,Denmark,2002,0.056
Phosphate in rivers,Milligrams per litre,Denmark,2003,0.053
Phosphate in rivers,Milligrams per litre,Denmark,2004,0.054
Phosphate in rivers,Milligrams per litre,Denmark,2005,0.048
Phosphate in rivers,Milligrams per litre,Denmark,2006,0.053
Phosphate in rivers,Milligrams per litre,Denmark,2007,0.049
Phosphate in rivers,Milligrams per litre,Denmark,2008,0.048
Phosphate in rivers,Milligrams per litre,Denmark,2009,0.045
Phosphate in rivers,Milligrams per litre,Denmark,2010,0.049
Phosphate in rivers,Milligrams per litre,Denmark,2011,0.051
Phosphate in rivers,Milligrams per litre,Denmark,2012,0.051
Phosphate in rivers,Milligrams per litre,Denmark,2013,0.046
Phosphate in rivers,Milligrams per litre,Denmark,2014,0.047
Phosphate in rivers,Milligrams per litre,Denmark,2015,0.051
Phosphate in rivers,Milligrams per litre,Denmark,2016,0.047
Phosphate in rivers,Milligrams per litre,Denmark,2017,0.05
Phosphate in rivers,Milligrams per litre,Denmark,2018,0.049
Phosphate in rivers,Milligrams per litre,Denmark,2019,0.05
Phosphate in rivers,Milligrams per litre,Denmark,2020,0.055
Phosphate in rivers,Milligrams per litre,Denmark,2021,0.053
Phosphate in rivers,Milligrams per litre,Denmark,2022,0.049
Phosphate in rivers,Milligrams per litre,Estonia,2000,0.036
Phosphate in rivers,Milligrams per litre,Estonia,2001,0.039
Phosphate in rivers,Milligrams per litre,Estonia,2002,0.037
Phosphate in rivers,Milligrams per litre,Estonia,2003,0.045
Phosphate in rivers,Milligrams per litre,Estonia,2004,0.033
Phosphate in rivers,Milligrams per litre,Estonia,2005,0.031
