watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Serbia,2004,0.07
Phosphate in rivers,Milligrams per litre,Serbia,2005,0.084
Phosphate in rivers,Milligrams per litre,Serbia,2006,0.089
Phosphate in rivers,Milligrams per litre,Serbia,2007,0.081
Phosphate in rivers,Milligrams per litre,Serbia,2008,0.082
Phosphate in rivers,Milligrams per litre,Serbia,2009,0.076
Phosphate in rivers,Milligrams per litre,Serbia,2010,0.08
Phosphate in rivers,Milligrams per litre,Serbia,2011,0.074
Phosphate in rivers,Milligrams per litre,Serbia,2012,0.081
Phosphate in rivers,Milligrams per litre,Serbia,2013,0.065
Phosphate in rivers,Milligrams per litre,Serbia,2014,0.07
Phosphate in rivers,Milligrams per litre,Serbia,2015,0.075
Phosphate in rivers,Milligrams per litre,Serbia,2016,0.069
Phosphate in rivers,Milligrams per litre,Serbia,2017,0.066
Phosphate in rivers,Milligrams per litre,Serbia,2018,0.062
Phosphate in rivers,Milligrams per litre,Serbia,2019,0.066
Phosphate in rivers,Milligrams per litre,Serbia,2020,0.065
Phosphate in rivers,Milligrams per litre,Serbia,2021,0.059
Phosphate in rivers,Milligrams per litre,Serbia,2022,0.065
Phosphate in rivers,Milligrams per litre,Sweden,2000,0.009
Phosphate in rivers,Milligrams per litre,Sweden,2001,0.01
Phosphate in rivers,Milligrams per litre,Sweden,2002,0.012
Phosphate in rivers,Milligrams per litre,Sweden,2003,0.011
Phosphate in rivers,Milligrams per litre,Sweden,2004,0.014
Phosphate in rivers,Milligrams per litre,Sweden,2005,0.012
Phosphate in rivers,Milligrams per litre,Sweden,2006,0.012
Phosphate in rivers,Milligrams per litre,Sweden,2007,0.011
Phosphate in rivers,Milligrams per litre,Sweden,2008,0.011
Phosphate in rivers,Milligrams per litre,Sweden,2009,0.011
Phosphate in rivers,Milligrams per litre,Sweden,2010,0.012
Phosphate in rivers,Milligrams per litre,Sweden,2011,0.012
Phosphate in rivers,Milligrams per litre,Sweden,2012,0.01
Phosphate in rivers,Milligrams per litre,Sweden,2013,0.01
Phosphate in rivers,Milligrams per litre,Sweden,2014,0.009
Phosphate in rivers,Milligrams per litre,Sweden,2015,0.008
Phosphate in rivers,Milligrams per litre,Sweden,2016,0.008
Phosphate in rivers,Milligrams per litre,Sweden,2017,0.007
Phosphate in rivers,Milligrams per litre,Sweden,2018,0.007
Phosphate in rivers,Milligrams per litre,Sweden,2019,0.007
Phosphate in rivers,Milligrams per litre,Sweden,2020,0.007
Phosphate in rivers,Milligrams per litre,Sweden,2021,0.007
Phosphate in rivers,Milligrams per litre,Sweden,2022,0.007
Phosphate in rivers,Milligrams per litre,Slovakia,2000,0.184
Phosphate in rivers,Milligrams per litre,Slovakia,2001,0.163
Phosphate in rivers,Milligrams per litre,Slovakia,2002,0.143
Phosphate in rivers,Milligrams per litre,Slovakia,2003,0.186
Phosphate in rivers,Milligrams per litre,Slovakia,2004,0.153
Phosphate in rivers,Milligrams per litre,Slovakia,2005,0.12
Phosphate in rivers,Milligrams per litre,Slovakia,2006,0.117
Phosphate in rivers,Milligrams per litre,Slovakia,2007,0.119
Phosphate in rivers,Milligrams per litre,Slovakia,2008,0.108
Phosphate in rivers,Milligrams per litre,Slovakia,2009,0.104
Phosphate in rivers,Milligrams per litre,Slovakia,2010,0.072
Phosphate in rivers,Milligrams per litre,Slovakia,2011,0.081
Phosphate in rivers,Milligrams per litre,Slovakia,2012,0.102
Phosphate in rivers,Milligrams per litre,Slovakia,2013,0.085
Phosphate in rivers,Milligrams per litre,Slovakia,2014,0.104
Phosphate in rivers,Milligrams per litre,Slovakia,2015,0.092
Phosphate in rivers,Milligrams per litre,Slovakia,2016,0.096
Phosphate in rivers,Milligrams per litre,Slovakia,2017,0.072
Phosphate in rivers,Milligrams per litre,Slovakia,2018,0.072
Phosphate in rivers,Milligrams per litre,Slovakia,2019,0.071
Phosphate in rivers,Milligrams per litre,Slovakia,2020,0.055
Phosphate in rivers,Milligrams per litre,Slovakia,2021,0.05
Phosphate in rivers,Milligrams per litre,Slovakia,2022,0.093
