indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Drought_impact_area_on_ecosystems,Germany,Square kilometre,156.0,41.0,0.0,48367.0,1820.0,33.0,125.0,137.0,6.0,236.0,4.0,10347.0,1384.0,6.0,795.0,5454.0,325.0,1774.0,70421.0,62550.0,54655.0,345.0,64136.0,813.0,LULUCF,-0.99,-1.0,-1.0,0.03,-0.1,-1.0,-0.99,-0.98,-1.0,-0.99,-1.0,-0.67,-0.98,-0.99,-0.91,-0.8,-0.97,-0.93,1.0,1.0,1.0,-0.98,-0.47,-0.95
Drought_impact_area_on_ecosystems,Greece,Square kilometre,30841.0,15422.0,478.0,67.0,13.0,22.0,0.0,13043.0,6888.0,165.0,1033.0,99.0,5572.0,616.0,201.0,14.0,9335.0,5639.0,3407.0,702.0,1670.0,8630.0,7294.0,1987.0,LULUCF,0.1,-0.37,-0.96,-1.0,-0.99,-1.0,-1.0,0.51,0.14,-0.99,-0.66,-1.0,-0.93,-0.45,-0.98,-1.0,-0.18,-0.77,-0.9,-0.98,-0.94,-0.53,-0.94,-0.88
Drought_impact_area_on_ecosystems,Hungary,Square kilometre,2338.0,346.0,2545.0,13639.0,0.0,1.0,0.0,3650.0,0.0,103.0,0.0,186.0,39874.0,0.0,260.0,2844.0,0.0,1327.0,0.0,704.0,226.0,1622.0,23897.0,0.0,LULUCF,-0.92,-0.99,-0.81,-0.71,-1.0,-1.0,-1.0,-0.58,-1.0,-0.99,-1.0,-0.99,-0.49,-1.0,-0.97,-0.9,-1.0,-0.95,-1.0,-0.98,-0.99,-0.91,-0.8,-1.0
Drought_impact_area_on_ecosystems,Ireland,Square kilometre,0.0,1.0,1.0,1123.0,9.0,1.0,188.0,0.0,0.0,2.0,3.0,1.0,1.0,660.0,186.0,0.0,0.0,23.0,987.0,23.0,37.0,241.0,4956.0,0.0,LULUCF,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.41,-0.98,-1.0,-1.0,-1.0,-0.97,-1.0,-1.0,-0.99,-0.96,-1.0
Drought_impact_area_on_ecosystems,Italy,Square kilometre,17617.0,14732.0,26467.0,12427.0,726.0,1782.0,4980.0,17228.0,12114.0,951.0,864.0,3893.0,27877.0,590.0,663.0,2342.0,6543.0,50081.0,2401.0,1730.0,4729.0,11187.0,53925.0,5432.0,LULUCF,-0.37,-0.4,1.0,-0.74,-0.64,-0.98,-0.74,1.0,1.0,-0.95,-0.71,-0.88,-0.64,-0.47,-0.92,-0.92,-0.43,1.0,-0.93,-0.94,-0.83,-0.39,-0.55,-0.68
Drought_impact_area_on_ecosystems,Latvia,Square kilometre,551.0,0.0,8855.0,7276.0,2.0,0.0,13925.0,1.0,65.0,2191.0,5215.0,12.0,4.0,43.0,273.0,256.0,559.0,37.0,4649.0,12118.0,1016.0,3053.0,625.0,6778.0,LULUCF,-0.98,-1.0,-0.33,-0.84,-1.0,-1.0,-0.27,-1.0,-0.99,-0.89,0.72,-1.0,-1.0,-0.96,-0.97,-0.99,-0.95,-1.0,-0.87,-0.61,-0.96,-0.83,-0.99,-0.6
Drought_impact_area_on_ecosystems,Lithuania,Square kilometre,10.0,0.0,14853.0,2937.0,0.0,4.0,3734.0,0.0,839.0,1003.0,236.0,0.0,16.0,0.0,0.0,643.0,53.0,2.0,9860.0,31961.0,2156.0,1326.0,14.0,20378.0,LULUCF,-1.0,-1.0,0.12,-0.94,-1.0,-1.0,-0.8,-1.0,-0.86,-0.95,-0.92,-1.0,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-0.72,0.02,-0.92,-0.93,-1.0,0.19
Drought_impact_area_on_ecosystems,Luxembourg,Square kilometre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,185.0,332.0,441.0,1806.0,0.0,1824.0,3.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-0.99,-0.99,-0.93,-1.0,-0.98,-1.0
Drought_impact_area_on_ecosystems,Malta,Square kilometre,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,61.0,0.0,0.0,212.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-1.0,-1.0,-0.95,-1.0,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Drought_impact_area_on_ecosystems,Netherlands,Square kilometre,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,25.0,9032.0,1754.0,5758.0,0.0,6088.0,0.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.74,-0.94,-0.79,-1.0,-0.95,-1.0
Drought_impact_area_on_ecosystems,Poland,Square kilometre,6753.0,23.0,4640.0,42568.0,3933.0,2159.0,13887.0,229.0,0.0,28.0,8.0,0.0,19155.0,328.0,370.0,55247.0,9572.0,2207.0,16679.0,44565.0,7903.0,5602.0,21987.0,24459.0,LULUCF,-0.76,-1.0,-0.65,-0.09,0.95,-0.97,-0.27,-0.97,-1.0,-1.0,-1.0,-1.0,-0.76,-0.71,-0.96,1.0,-0.16,-0.91,-0.53,0.42,-0.71,-0.69,-0.82,0.43
Drought_impact_area_on_ecosystems,Portugal,Square kilometre,0.0,2.0,2771.0,0.0,0.0,55433.0,4.0,0.0,237.0,13239.0,2.0,2128.0,31891.0,11.0,62.0,3306.0,0.0,1509.0,25.0,2841.0,11.0,13.0,38843.0,6115.0,LULUCF,-1.0,-1.0,-0.79,-1.0,-1.0,-0.26,-1.0,-1.0,-0.96,-0.31,-1.0,-0.93,-0.59,-0.99,-0.99,-0.88,-1.0,-0.94,-1.0,-0.91,-1.0,-1.0,-0.68,-0.64
Drought_impact_area_on_ecosystems,Romania,Square kilometre,28602.0,2726.0,4778.0,31990.0,1275.0,0.0,1.0,15143.0,845.0,2480.0,0.0,244.0,39937.0,2247.0,906.0,1975.0,211.0,2565.0,85.0,519.0,28295.0,1815.0,34971.0,2982.0,LULUCF,0.02,-0.89,-0.64,-0.32,-0.37,-1.0,-1.0,0.76,-0.86,-0.87,-1.0,-0.99,-0.49,1.0,-0.89,-0.93,-0.98,-0.9,-1.0,-0.98,0.04,-0.9,-0.71,-0.83
Drought_impact_area_on_ecosystems,Slovakia,Square kilometre,811.0,0.0,142.0,7423.0,18.0,0.0,10.0,531.0,0.0,168.0,0.0,0.0,13965.0,627.0,376.0,3617.0,285.0,2991.0,684.0,184.0,8.0,292.0,9864.0,327.0,LULUCF,-0.97,-1.0,-0.99,-0.84,-0.99,-1.0,-1.0,-0.94,-1.0,-0.99,-1.0,-1.0,-0.82,-0.44,-0.96,-0.87,-0.97,-0.88,-0.98,-0.99,-1.0,-0.98,-0.92,-0.98
Drought_impact_area_on_ecosystems,Slovenia,Square kilometre,1526.0,0.0,121.0,7582.0,0.0,0.0,1.0,24.0,0.0,0.0,2.0,628.0,3129.0,2.0,0.0,55.0,32.0,1529.0,46.0,59.0,139.0,1127.0,11197.0,53.0,LULUCF,-0.95,-1.0,-0.99,-0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98,-0.96,-1.0,-1.0,-1.0,-1.0,-0.94,-1.0,-1.0,-0.99,-0.94,-0.91,-1.0
Drought_impact_area_on_ecosystems,Spain,Square kilometre,17631.0,6874.0,12161.0,5970.0,19.0,150095.0,8673.0,851.0,4660.0,38108.0,779.0,8221.0,156589.0,113.0,16744.0,9365.0,22788.0,27812.0,1801.0,29704.0,134.0,3725.0,56776.0,34266.0,LULUCF,-0.37,-0.72,-0.08,-0.87,-0.99,1.0,-0.54,-0.9,-0.23,1.0,-0.74,-0.74,1.0,-0.9,1.0,-0.66,1.0,0.11,-0.95,-0.05,-1.0,-0.8,-0.53,1.0
Drought_impact_area_on_ecosystems,Sweden,Square kilometre,31.0,16.0,3649.0,14376.0,4029.0,1030.0,10126.0,1962.0,2395.0,5478.0,5065.0,1329.0,45.0,794.0,3671.0,6330.0,7760.0,16569.0,60702.0,25535.0,16605.0,23885.0,10625.0,12602.0,LULUCF,-1.0,-1.0,-0.72,-0.69,1.0,-0.99,-0.47,-0.77,-0.6,-0.71,0.68,-0.96,-1.0,-0.29,-0.56,-0.77,-0.32,-0.34,0.72,-0.18,-0.39,0.31,-0.91,-0.26
