indicator,country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z,title
Bathing_sites_with_excellent_water_quality,Latvia,43.8,37.5,51.5,63.6,69.7,84.9,93.9,97.0,84.9,69.7,75.0,81.8,78.8,Other sectors,-1.0,-1.0,-1.0,-0.59,-0.4,0.25,0.78,0.88,0.14,-0.67,-0.6,-0.18,-0.21,Bathing Quality
Bathing_sites_with_excellent_water_quality,Lithuania,81.3,81.3,81.3,87.5,87.5,87.5,87.5,87.5,100.0,93.8,87.5,87.5,87.5,Other sectors,0.33,0.38,0.3,0.6,0.57,0.43,0.44,0.38,1.0,0.73,0.3,0.22,0.39,Bathing Quality
Bathing_sites_with_excellent_water_quality,Malta,97.7,96.6,98.9,100.0,97.7,98.9,98.9,98.9,97.7,96.6,96.6,94.3,92.0,Other sectors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.88,0.89,0.96,0.7,0.71,Bathing Quality
Bathing_sites_with_excellent_water_quality,Netherlands,67.8,78.9,74.2,68.9,75.8,82.4,80.2,73.6,76.7,75.8,82.2,85.7,80.2,Other sectors,-0.41,0.27,-0.07,-0.32,-0.07,0.07,0.05,-0.37,-0.33,-0.32,-0.08,0.09,-0.11,Bathing Quality
Bathing_sites_with_excellent_water_quality,Poland,80.9,73.9,75.9,60.0,55.4,56.2,48.5,30.8,29.5,30.7,43.5,50.8,55.1,Other sectors,0.31,0.05,0.02,-0.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Bathing Quality
Bathing_sites_with_excellent_water_quality,Portugal,88.4,91.8,92.2,87.4,89.6,89.0,90.6,94.4,95.6,93.3,92.4,90.8,91.9,Other sectors,0.72,0.85,0.87,0.6,0.68,0.53,0.6,0.74,0.76,0.7,0.66,0.46,0.7,Bathing Quality
Bathing_sites_with_excellent_water_quality,Romania,87.8,8.2,34.7,22.5,30.6,69.4,51.0,57.1,77.6,71.4,85.7,91.8,69.4,Other sectors,0.69,-1.0,-1.0,-1.0,-1.0,-0.83,-1.0,-1.0,-0.28,-0.57,0.17,0.53,-0.86,Bathing Quality
Bathing_sites_with_excellent_water_quality,Slovenia,95.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.2,95.2,95.2,95.2,95.2,Other sectors,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.81,0.86,0.77,0.93,Bathing Quality
Bathing_sites_with_excellent_water_quality,Spain,84.7,86.8,87.2,85.6,87.1,88.9,90.5,92.2,93.2,93.5,92.1,92.8,92.2,Other sectors,0.52,0.62,0.61,0.51,0.54,0.52,0.6,0.63,0.62,0.71,0.64,0.6,0.72,Bathing Quality
Bathing_sites_with_excellent_water_quality,Sweden,55.0,61.7,53.4,50.6,56.9,69.0,41.8,61.9,72.5,77.4,73.2,70.1,68.4,Other sectors,-1.0,-0.49,-1.0,-1.0,-1.0,-0.86,-1.0,-0.99,-0.57,-0.22,-0.73,-1.0,-0.93,Bathing Quality
