indicator,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,1980_z,1981_z,1982_z,1983_z,1984_z,1985_z,1986_z,1987_z,1988_z,1989_z,1990_z,1991_z,1992_z,1993_z,1994_z,1995_z,1996_z,1997_z,1998_z,1999_z,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Climate_related_economic_losses,Austria,"Current prices, million euro",0.0,0.0,2.0,0,0.0,0.0,0.0,441.0,0.0,0.0,545.0,195.0,0.0,2.0,3.0,0.0,7,328.0,0.0,187.0,306.0,1.0,3945.0,410.0,1.0,882.0,728.0,453.0,619.0,693.0,0,0.0,13.0,1012.0,0.0,0.0,0.0,1230.0,393.0,621.0,244.0,853.0,215.0,396.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.89,-1.0,-1.0,-0.85,-0.73,-1.0,-1.0,-1.0,-1.0,-0.99,-0.9,-1.0,-0.98,-0.96,-1.0,-0.71,-0.89,-1.0,-0.5,0.29,-0.86,-0.56,-0.56,-1.0,-1.0,-0.98,-0.87,-1.0,-1.0,-1.0,-0.81,-0.92,-0.85,-0.9,-0.96,-0.98,-0.95
Climate_related_economic_losses,Belgium,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1455.0,0.0,0.0,0.0,0.0,128.0,0,0.0,15.0,82.0,1.0,1.0,8.0,1.0,1.0,75.0,0.0,484.0,0.0,0.0,584,95.0,0.0,0.0,760.0,0.0,134.0,31.0,212.0,288.0,536.0,11159.0,840.0,99.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.59,-1.0,-1.0,-1.0,-1.0,-0.89,-1.0,-1.0,-0.97,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-1.0,-0.85,-1.0,-1.0,-0.8,-0.93,-1.0,-1.0,-0.52,-1.0,-0.93,-1.0,-0.96,-0.93,-0.78,-0.42,-0.9,-0.99
Climate_related_economic_losses,Bulgaria,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,1.0,2611.0,1.0,4.0,0.0,0.0,0,0.0,6.0,0.0,1198.0,1213.0,0.0,0.0,0.0,0.0,6.0,2.0,40.0,23.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-1.0,-1.0,0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-0.25,-0.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Climate_related_economic_losses,Croatia,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,0.0,524.0,0.0,0.0,849.0,1.0,0.0,1.0,0.0,0.0,0.0,575,0.0,175.0,0.0,749.0,196.0,0.0,169.0,334.0,0.0,61.0,0.0,352.0,151.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-1.0,-0.93,-1.0,-1.0,-0.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.81,-1.0,-0.79,-1.0,-0.53,-0.89,-1.0,-0.97,-0.93,-1.0,-0.97,-1.0,-0.96,-0.98
Climate_related_economic_losses,Cyprus,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,184.0,3.0,0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Climate_related_economic_losses,Czech Republic,"Current prices, million euro",0.0,0.0,0.0,0,0.0,10.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,5484.0,137.0,0.0,1038.0,55.0,5438.0,0.0,0.0,0.0,664.0,280.0,52.0,177.0,876,0.0,51.0,2103.0,18.0,0.0,70.0,747.0,159.0,0.0,184.0,689.0,80.0,22.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-0.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,0.64,-0.71,-1.0,-0.86,-0.92,-0.6,-1.0,-1.0,-1.0,0.17,-0.91,-0.96,-0.89,-0.71,-1.0,-0.94,-0.73,-0.99,-1.0,-0.96,-0.89,-0.97,-1.0,-0.92,-0.96,-0.99,-1.0
Climate_related_economic_losses,Denmark,"Current prices, million euro",0.0,812.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,1076.0,0.0,0.0,0.0,0,0.0,0.0,4068.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,0.0,0.0,114,882.0,0.0,898.0,87.0,0.0,0.0,0.0,87.0,0.0,59.0,0.0,4.0,167.0,Other sectors,-1.0,-0.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.91,-1.0,-0.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.56,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.97,-1.0,-1.0,-0.96,-0.35,-1.0,-0.88,-0.95,-1.0,-1.0,-1.0,-0.98,-1.0,-0.98,-1.0,-1.0,-0.98
Climate_related_economic_losses,EU,"Current prices, million euro",258.14814814814815,240.3703703703704,376.6666666666667,753,318.44444444444446,135.33333333333334,139.85185185185185,621.1481481481482,89.18518518518519,197.92592592592592,1225.4814814814815,105.33333333333331,305.3333333333333,236.85185185185185,775.4074074074074,265.44444444444446,147,593.3333333333334,182.40740740740745,1359.3703703703704,853.4444444444445,189.11111111111111,1693.3333333333333,1051.2222222222222,178.37037037037038,779.7407407407408,158.74074074074073,419.51851851851853,219.07407407407408,298.6296296296296,862,261.77777777777777,163.88888888888889,861.925925925926,512.8148148148148,462.8148148148149,388.1111111111111,1182.888888888889,894.1481481481482,987.5925925925926,568.6296296296297,2332.6666666666665,2072.5185185185187,1625.148148148148,Other sectors,-0.86,-0.88,-0.86,-0.9,-0.84,-0.83,-0.91,-0.85,-0.85,-0.85,-0.65,-0.85,-0.74,-0.83,-0.87,-0.77,-0.85,-0.82,-0.62,-0.85,-0.89,-0.73,-0.88,-0.71,-0.78,-0.56,-0.72,-0.87,-0.85,-0.81,-0.71,-0.81,-0.81,-0.89,-0.68,-0.75,-0.8,-0.82,-0.82,-0.76,-0.76,-0.88,-0.76,-0.79
Climate_related_economic_losses,Estonia,"Current prices, million euro",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,20.0,0.0,237.0,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-0.87,-1.0,-1.0,-1.0,-1.0,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Climate_related_economic_losses,Finland,"Current prices, million euro",0.0,0.0,0.0,0,365.0,0.0,0.0,1339.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,154.0,1.0,30.0,0.0,0.0,151,155.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,49.0,0.0,0.0,Other sectors,-1.0,-1.0,-1.0,-1.0,-0.82,-1.0,-1.0,-0.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.97,-1.0,-1.0,-1.0,-0.91,-1.0,-0.99,-1.0,-1.0,-0.95,-0.89,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-1.0,-1.0,-1.0
