indicator,country,unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Air_emission_intensity_from_industry,Latvia,"Grams per euro, chain linked volumes (2010)",0.45,0.57,0.48,0.37,0.4,0.44,0.54,0.51,0.46,0.44,0.44,0.42,0.42,0.39,0.45,,Industrial processes,-0.18,-0.15,0.19,-0.41,-0.58,-0.52,-0.47,-0.48,-0.56,-0.51,-0.52,-0.56,-0.67,-0.68,-0.61,
Air_emission_intensity_from_industry,Lithuania,"Grams per euro, chain linked volumes (2010)",0.11,0.09,0.09,0.1,0.1,0.09,0.11,0.11,0.08,0.08,0.08,0.06,0.06,0.06,0.06,,Industrial processes,-0.83,-0.89,-0.8,-0.85,-0.9,-0.92,-0.91,-0.91,-0.94,-0.92,-0.92,-0.95,-0.96,-0.96,-0.96,
Air_emission_intensity_from_industry,Luxembourg,"Grams per euro, chain linked volumes (2010)",0.11,0.1,0.11,0.1,0.1,0.08,0.07,0.05,0.05,0.07,0.06,0.06,0.05,0.05,0.05,,Industrial processes,-0.83,-0.88,-0.75,-0.85,-0.9,-0.93,-0.95,-0.97,-0.97,-0.93,-0.94,-0.95,-0.97,-0.97,-0.96,
Air_emission_intensity_from_industry,Malta,"Grams per euro, chain linked volumes (2010)",0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,Industrial processes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
Air_emission_intensity_from_industry,Netherlands,"Grams per euro, chain linked volumes (2010)",0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,,Industrial processes,-0.89,-0.91,-0.82,-0.9,-0.95,-0.95,-0.96,-0.96,-0.96,-0.95,-0.96,-0.96,-0.97,-0.97,-0.97,
Air_emission_intensity_from_industry,Poland,"Grams per euro, chain linked volumes (2010)",0.32,0.27,0.25,0.26,0.24,0.24,0.22,0.2,0.18,0.18,0.17,0.15,0.15,0.16,0.13,,Industrial processes,-0.43,-0.61,-0.39,-0.59,-0.75,-0.75,-0.8,-0.81,-0.84,-0.81,-0.82,-0.85,-0.89,-0.87,-0.89,
Air_emission_intensity_from_industry,Portugal,"Grams per euro, chain linked volumes (2010)",1.07,1.31,0.8,1.24,1.88,1.78,1.98,1.92,2.0,1.78,1.82,1.89,2.48,2.39,2.24,,Industrial processes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Air_emission_intensity_from_industry,Romania,"Grams per euro, chain linked volumes (2010)",0.39,0.29,0.31,0.27,0.29,0.28,0.25,0.25,0.24,0.22,0.17,0.18,0.18,0.18,0.17,,Industrial processes,-0.3,-0.58,-0.24,-0.58,-0.7,-0.7,-0.77,-0.76,-0.78,-0.76,-0.82,-0.82,-0.86,-0.86,-0.86,
Air_emission_intensity_from_industry,Slovakia,"Grams per euro, chain linked volumes (2010)",0.19,0.2,0.15,0.13,0.13,0.12,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05,,Industrial processes,-0.68,-0.72,-0.65,-0.8,-0.87,-0.89,-0.93,-0.94,-0.94,-0.92,-0.93,-0.95,-0.96,-0.96,-0.96,
Air_emission_intensity_from_industry,Slovenia,"Grams per euro, chain linked volumes (2010)",0.15,0.15,0.15,0.14,0.13,0.14,0.15,0.14,0.12,0.12,0.11,0.1,0.1,0.09,0.09,,Industrial processes,-0.75,-0.8,-0.65,-0.79,-0.87,-0.86,-0.87,-0.87,-0.9,-0.88,-0.89,-0.9,-0.93,-0.93,-0.93,
Air_emission_intensity_from_industry,Spain,"Grams per euro, chain linked volumes (2010)",0.13,0.12,0.12,0.12,0.13,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.1,0.09,,Industrial processes,-0.79,-0.84,-0.72,-0.82,-0.87,-0.91,-0.93,-0.93,-0.92,-0.9,-0.9,-0.89,-0.92,-0.92,-0.93,
Air_emission_intensity_from_industry,Sweden,"Grams per euro, chain linked volumes (2010)",0.1,0.11,0.1,0.09,0.09,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,Industrial processes,-0.85,-0.86,-0.77,-0.87,-0.91,-0.93,-0.94,-0.96,-0.96,-0.94,-0.94,-0.95,-0.97,-0.97,-0.97,-1.0
