indicator,country,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector,1990_z,1991_z,1992_z,1993_z,1994_z,1995_z,1996_z,1997_z,1998_z,1999_z,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,title
Net_greenhouse_gas_emissions,France,Tonnes per capita,9.1,9.5,9.3,8.9,8.7,8.7,8.9,8.7,8.9,8.7,8.8,8.6,8.3,8.2,8.2,8.1,7.9,7.8,7.7,7.5,7.5,7.1,7.0,6.9,6.4,6.5,6.6,6.8,6.4,6.4,5.6,5.9,5.7,Energy consumption,-0.59,-0.57,-0.55,-0.51,-0.4,-0.25,-0.23,-0.22,-0.15,-0.27,-0.19,-0.25,-0.36,-0.4,-0.55,-0.55,-0.52,-0.5,-0.48,-0.44,-0.48,-0.47,-0.43,-0.38,-0.39,-0.37,-0.34,-0.37,-0.48,-0.43,-0.34,-0.33,-0.27,GHG Emissions
Net_greenhouse_gas_emissions,Germany,Tonnes per capita,16.3,14.9,14.1,13.9,13.7,13.7,13.8,13.4,13.1,12.6,12.8,12.9,13.0,12.8,12.5,12.4,12.5,12.1,12.0,11.2,11.6,11.5,11.5,11.7,11.2,11.2,11.1,10.9,10.6,9.9,9.0,9.4,9.3,Energy consumption,-0.13,-0.25,-0.24,-0.19,-0.09,0.14,0.15,0.19,0.25,0.1,0.14,0.1,0.01,-0.05,-0.23,-0.24,-0.19,-0.17,-0.15,-0.14,-0.16,-0.11,-0.05,0.06,0.07,0.11,0.14,0.07,-0.02,-0.05,0.09,0.1,0.25,GHG Emissions
Net_greenhouse_gas_emissions,Greece,Tonnes per capita,10.2,10.1,10.1,10.0,10.2,10.3,10.6,11.0,11.5,11.4,11.7,11.7,11.7,12.1,12.1,12.4,12.0,12.4,11.9,11.2,10.6,10.4,10.1,9.5,9.4,8.8,8.5,8.9,8.6,7.9,6.7,7.1,7.4,Energy consumption,-0.52,-0.54,-0.5,-0.44,-0.31,-0.12,-0.1,-0.02,0.1,-0.01,0.05,-0.0,-0.09,-0.11,-0.26,-0.24,-0.22,-0.15,-0.16,-0.14,-0.24,-0.2,-0.17,-0.14,-0.1,-0.13,-0.14,-0.15,-0.24,-0.27,-0.2,-0.19,-0.02,GHG Emissions
Net_greenhouse_gas_emissions,Hungary,Tonnes per capita,8.9,8.4,7.3,7.1,7.1,7.0,7.5,7.4,7.2,7.5,7.4,7.4,7.3,7.4,7.4,7.1,7.2,7.0,6.6,6.2,6.2,6.2,5.8,5.6,5.5,5.8,6.0,6.2,6.3,6.2,5.8,5.9,5.6,Energy consumption,-0.6,-0.64,-0.68,-0.62,-0.5,-0.38,-0.34,-0.33,-0.31,-0.38,-0.31,-0.35,-0.44,-0.47,-0.6,-0.62,-0.58,-0.56,-0.57,-0.55,-0.59,-0.55,-0.54,-0.5,-0.48,-0.44,-0.41,-0.44,-0.49,-0.46,-0.32,-0.33,-0.28,GHG Emissions
Net_greenhouse_gas_emissions,Ireland,Tonnes per capita,17.5,17.6,17.4,17.7,18.0,18.6,18.9,19.0,19.5,19.7,20.3,20.9,20.0,20.0,19.1,19.2,18.7,17.7,17.0,15.3,15.4,14.2,14.1,14.2,13.9,14.5,14.6,14.8,14.5,13.8,12.9,13.2,13.0,Energy consumption,-0.06,-0.08,-0.03,0.04,0.18,0.52,0.55,0.67,0.85,0.78,0.78,0.75,0.55,0.5,0.25,0.25,0.27,0.26,0.24,0.2,0.15,0.11,0.18,0.29,0.33,0.45,0.52,0.49,0.4,0.37,0.58,0.57,0.78,GHG Emissions
Net_greenhouse_gas_emissions,Italy,Tonnes per capita,9.2,9.0,9.0,9.1,8.8,9.1,9.0,9.3,9.6,9.5,9.6,9.5,9.5,9.9,9.9,9.8,9.6,9.8,9.2,8.2,8.2,8.1,7.9,7.0,6.6,6.8,6.8,7.1,6.6,6.6,6.0,6.7,6.7,Energy consumption,-0.58,-0.6,-0.57,-0.5,-0.4,-0.22,-0.22,-0.16,-0.08,-0.19,-0.13,-0.18,-0.27,-0.27,-0.42,-0.43,-0.4,-0.35,-0.37,-0.38,-0.43,-0.39,-0.36,-0.37,-0.37,-0.34,-0.32,-0.34,-0.46,-0.41,-0.29,-0.23,-0.12,GHG Emissions
Net_greenhouse_gas_emissions,Latvia,Tonnes per capita,5.2,4.4,2.4,1.1,-0.8,-0.9,-0.9,-0.4,-0.2,1.0,-0.7,-0.6,0.1,0.4,2.0,2.4,2.3,2.7,2.4,3.5,4.9,4.5,3.8,4.4,6.4,5.8,4.9,4.3,5.9,5.1,6.0,7.0,8.3,Energy consumption,-0.83,-0.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-0.93,-0.89,-0.9,-0.77,-0.69,-0.69,-0.71,-0.61,-0.39,-0.44,-0.53,-0.64,-0.53,-0.58,-0.29,-0.2,0.11,GHG Emissions
Net_greenhouse_gas_emissions,Lithuania,Tonnes per capita,11.7,12.1,7.1,5.0,4.8,4.9,6.8,6.4,4.5,3.9,2.9,3.7,4.1,4.5,4.9,5.5,5.8,6.0,5.5,4.0,3.4,3.5,3.7,3.6,3.8,4.3,4.6,4.9,5.2,5.2,5.0,5.3,4.6,Energy consumption,-0.42,-0.42,-0.7,-0.75,-0.65,-0.55,-0.4,-0.41,-0.56,-0.72,-0.69,-0.65,-0.69,-0.69,-0.79,-0.74,-0.68,-0.64,-0.66,-0.73,-0.81,-0.77,-0.72,-0.68,-0.64,-0.59,-0.56,-0.58,-0.61,-0.57,-0.42,-0.41,-0.42,GHG Emissions
Net_greenhouse_gas_emissions,Luxembourg,Tonnes per capita,34.4,35.4,33.3,32.9,31.0,24.7,24.6,22.8,21.1,22.0,22.9,24.0,25.7,26.6,29.3,29.5,28.7,27.4,26.7,25.0,26.1,25.0,23.7,21.9,20.8,19.9,19.1,19.5,20.0,19.6,16.2,16.7,14.5,Energy consumption,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GHG Emissions
Net_greenhouse_gas_emissions,Malta,Tonnes per capita,7.9,7.3,7.5,9.0,8.5,8.0,8.2,8.2,8.1,8.2,7.9,8.4,8.4,8.9,8.6,8.1,8.1,8.4,8.2,7.7,7.9,7.9,8.2,7.4,7.4,5.7,4.9,5.2,5.2,5.2,4.4,4.5,5.0,Energy consumption,-0.66,-0.71,-0.67,-0.5,-0.42,-0.3,-0.29,-0.26,-0.22,-0.31,-0.27,-0.27,-0.35,-0.35,-0.52,-0.55,-0.51,-0.46,-0.45,-0.42,-0.45,-0.41,-0.33,-0.33,-0.29,-0.45,-0.53,-0.55,-0.61,-0.57,-0.49,-0.51,-0.37,GHG Emissions
Net_greenhouse_gas_emissions,Netherlands,Tonnes per capita,15.6,16.0,15.9,15.9,15.9,15.8,16.5,15.9,15.8,15.0,14.8,14.8,14.5,14.5,14.6,14.2,13.9,13.8,13.7,13.2,13.9,13.0,12.6,12.5,12.1,12.5,12.5,12.2,11.8,11.4,10.1,10.2,9.5,Energy consumption,-0.18,-0.18,-0.13,-0.07,0.05,0.3,0.36,0.41,0.5,0.33,0.31,0.25,0.12,0.08,-0.08,-0.11,-0.08,-0.04,-0.02,0.03,0.03,0.01,0.05,0.14,0.16,0.24,0.29,0.21,0.11,0.11,0.23,0.2,0.28,GHG Emissions
Net_greenhouse_gas_emissions,Poland,Tonnes per capita,11.8,11.6,11.8,11.5,11.4,11.1,11.0,10.7,9.8,9.6,9.4,9.6,9.1,9.4,9.2,9.2,9.8,9.9,9.8,9.3,9.8,9.6,9.4,9.2,9.1,9.2,9.4,9.7,9.8,9.7,9.3,10.2,9.4,Energy consumption,-0.42,-0.45,-0.39,-0.35,-0.23,-0.06,-0.07,-0.04,-0.06,-0.18,-0.14,-0.17,-0.3,-0.31,-0.47,-0.47,-0.38,-0.34,-0.32,-0.29,-0.3,-0.27,-0.23,-0.17,-0.13,-0.09,-0.04,-0.06,-0.11,-0.08,0.13,0.2,0.27,GHG Emissions
Net_greenhouse_gas_emissions,Portugal,Tonnes per capita,6.8,6.0,5.8,5.5,5.7,6.0,5.9,6.1,6.6,7.3,8.0,7.3,7.7,8.4,7.8,8.7,7.8,7.4,6.6,6.2,6.2,6.4,6.4,6.3,5.9,6.5,6.8,9.3,6.6,6.2,5.2,5.0,5.2,Energy consumption,-0.73,-0.79,-0.78,-0.72,-0.59,-0.46,-0.47,-0.44,-0.36,-0.4,-0.26,-0.36,-0.41,-0.39,-0.58,-0.51,-0.53,-0.53,-0.57,-0.55,-0.59,-0.53,-0.48,-0.43,-0.44,-0.37,-0.32,-0.1,-0.46,-0.46,-0.39,-0.44,-0.34,GHG Emissions
Net_greenhouse_gas_emissions,Romania,Tonnes per capita,10.0,8.0,7.4,6.9,6.8,7.1,7.3,7.0,6.1,5.4,5.0,5.2,5.5,5.7,5.7,5.6,5.8,5.9,5.8,5.0,4.5,4.8,4.6,4.0,3.5,3.5,3.3,3.6,3.7,3.6,3.2,3.5,3.3,Energy consumption,-0.53,-0.67,-0.68,-0.64,-0.52,-0.38,-0.36,-0.36,-0.41,-0.58,-0.52,-0.53,-0.58,-0.6,-0.73,-0.73,-0.68,-0.65,-0.63,-0.65,-0.72,-0.66,-0.64,-0.64,-0.67,-0.67,-0.7,-0.72,-0.77,-0.74,-0.65,-0.63,-0.61,GHG Emissions
Net_greenhouse_gas_emissions,Slovakia,Tonnes per capita,12.2,10.3,9.1,8.5,8.1,8.2,8.2,8.2,7.9,7.8,7.4,8.0,7.7,7.8,7.9,8.7,8.1,7.8,8.1,7.4,7.7,7.4,6.7,6.5,6.5,6.6,6.7,6.9,7.0,6.4,5.5,6.3,5.5,Energy consumption,-0.39,-0.53,-0.57,-0.53,-0.44,-0.29,-0.29,-0.26,-0.24,-0.35,-0.31,-0.3,-0.41,-0.44,-0.57,-0.51,-0.51,-0.5,-0.45,-0.45,-0.47,-0.45,-0.46,-0.41,-0.38,-0.36,-0.33,-0.36,-0.41,-0.43,-0.35,-0.28,-0.29,GHG Emissions
Net_greenhouse_gas_emissions,Slovenia,Tonnes per capita,7.2,6.4,6.3,6.5,6.6,6.9,6.9,7.1,6.8,6.5,6.3,6.9,6.5,6.5,6.6,6.7,6.8,6.7,7.2,6.1,6.2,6.2,5.9,6.4,8.4,8.5,9.0,9.0,8.9,7.9,7.4,7.5,7.3,Energy consumption,-0.71,-0.76,-0.75,-0.66,-0.53,-0.39,-0.39,-0.35,-0.34,-0.48,-0.41,-0.39,-0.5,-0.53,-0.66,-0.65,-0.6,-0.59,-0.52,-0.56,-0.59,-0.55,-0.53,-0.42,-0.2,-0.16,-0.09,-0.14,-0.21,-0.27,-0.11,-0.14,-0.04,GHG Emissions
Net_greenhouse_gas_emissions,Spain,Tonnes per capita,6.6,6.8,7.1,6.7,7.1,7.5,7.2,7.6,7.8,8.3,8.6,8.5,8.8,8.8,9.1,9.2,8.9,9.1,8.2,7.3,6.9,6.9,6.8,6.3,6.3,6.5,6.3,6.5,6.4,6.0,4.9,5.3,5.5,Energy consumption,-0.74,-0.74,-0.7,-0.65,-0.5,-0.34,-0.36,-0.31,-0.25,-0.3,-0.21,-0.26,-0.32,-0.36,-0.48,-0.47,-0.45,-0.4,-0.45,-0.46,-0.53,-0.49,-0.45,-0.43,-0.4,-0.37,-0.38,-0.41,-0.48,-0.48,-0.43,-0.41,-0.29,GHG Emissions
Net_greenhouse_gas_emissions,Sweden,Tonnes per capita,2.5,2.5,2.5,3.0,3.1,3.0,3.2,2.5,2.5,2.2,1.9,1.9,1.9,2.2,2.4,1.9,1.4,1.3,1.1,0.7,1.0,0.7,0.4,0.1,0.1,0.3,0.5,1.0,1.6,1.2,0.4,0.5,0.6,Energy consumption,-1.0,-1.0,-0.99,-0.88,-0.75,-0.7,-0.68,-0.75,-0.75,-0.89,-0.78,-0.8,-0.86,-0.86,-0.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,GHG Emissions
