indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z,title
Gross_value_added_in_environmental_goods_and_services_sector,Lithuania,Percentage of gross domestic product (GDP),,,,,,,,,,,1.76,1.74,1.99,2.05,2.09,2.2,2.31,2.41,2.35,2.64,2.93,3.48,3.45,,Other sectors,,,,,,,,,,,-0.59,-0.81,-0.55,-0.56,-0.26,-0.23,-0.15,-0.02,0.0,0.22,0.32,0.69,0.49,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Luxembourg,Percentage of gross domestic product (GDP),,,,,,,,,1.71,1.63,1.77,1.74,1.73,1.76,1.77,1.69,1.86,1.96,2.22,2.7,2.88,2.98,3.35,,Other sectors,,,,,,,,,-0.86,-0.79,-0.58,-0.81,-0.75,-0.79,-0.56,-0.67,-0.53,-0.4,-0.12,0.27,0.27,0.25,0.41,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Malta,Percentage of gross domestic product (GDP),,,,,,,,,,,,,1.17,1.14,1.13,1.11,1.06,0.94,0.91,0.94,0.98,0.87,0.82,,Other sectors,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Netherlands,Percentage of gross domestic product (GDP),,1.64,1.66,1.68,1.66,1.64,1.71,1.71,1.8,1.82,1.93,2.02,1.98,2.04,2.16,2.19,2.24,2.32,2.31,2.4,3.26,3.17,3.56,,Other sectors,,,,,,,,,-0.78,-0.6,-0.41,-0.51,-0.56,-0.57,-0.19,-0.23,-0.21,-0.1,-0.04,0.0,0.61,0.42,0.57,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Poland,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,2.5,2.48,2.35,2.37,2.18,2.35,2.47,2.46,1.98,,Other sectors,,,,,,,,,,,,,,,0.13,0.02,-0.12,-0.06,-0.16,-0.04,-0.1,-0.19,-0.65,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Portugal,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,2.31,2.24,2.3,2.27,2.25,2.2,2.49,3.06,3.36,,Other sectors,,,,,,,,,,,,,,,-0.05,-0.19,-0.16,-0.14,-0.09,-0.18,-0.08,0.32,0.42,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Romania,Percentage of gross domestic product (GDP),,,,,,,,,4.12,2.46,2.74,3.23,2.42,3.39,2.53,2.68,2.5,2.36,2.57,2.49,2.62,2.82,3.1,,Other sectors,,,,,,,,,1.0,0.01,0.43,0.8,-0.21,0.51,0.15,0.19,0.01,-0.07,0.2,0.08,0.04,0.12,0.22,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Slovakia,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,,,,,1.24,1.2,1.61,1.87,1.68,,Other sectors,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-0.87,-0.7,-0.88,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Slovenia,Percentage of gross domestic product (GDP),,,,,,,,,,,1.51,1.5,1.72,1.68,1.8,1.57,1.69,1.59,1.64,1.6,1.73,1.52,1.34,,Other sectors,,,,,,,,,,,-0.85,-1.0,-0.76,-0.86,-0.53,-0.77,-0.68,-0.7,-0.66,-0.73,-0.76,-1.0,-1.0,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Spain,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,2.13,2.28,2.2,2.22,2.32,2.23,2.71,2.98,2.97,2.65,Other sectors,,,,,,,,,,,,,,,-0.22,-0.16,-0.24,-0.18,-0.03,-0.15,0.12,0.25,0.12,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Sweden,Percentage of gross domestic product (GDP),,,,,,,,,,,,3.24,3.35,3.23,,3.5,3.52,3.7,3.55,3.88,3.91,3.99,3.85,,Other sectors,,,,,,,,,,,,0.81,0.52,0.38,,0.91,0.88,1.0,1.0,1.0,1.0,1.0,0.8,,Environmental Value
